hit_date,z_score,PC,hit_direction,abs_z_score,close_price
2021-03-17,3.9546425819030704,PC1,upper,3.9546425819030704,0.99890232
2021-03-19,3.6728638352250713,PC1,upper,3.6728638352250713,1.0024375
2021-04-17,3.661880135728198,PC1,upper,3.661880135728198,1.01049621
2022-05-11,3.175186446162485,PC1,upper,3.175186446162485,1.0007660664
2022-05-12,3.50455919688711,PC1,upper,3.50455919688711,1.0006588844
2022-11-07,-3.5097151679521303,PC1,lower,3.5097151679521303,1.0003233485
2022-11-10,3.99220019466424,PC1,upper,3.99220019466424,1.00069176
2023-03-10,-4.037878734065942,PC1,lower,4.037878734065942,0.999478547
2023-03-11,6.392149950163712,PC1,upper,6.392149950163712,0.9715
2023-11-10,3.224120069917725,PC1,upper,3.224120069917725,0.9995419959
2024-11-05,-3.107168041609598,PC1,lower,3.107168041609598,1.0000373032
2025-01-18,3.316015253612375,PC1,upper,3.316015253612375,1.0000331259
2025-01-20,-3.0864537662922715,PC1,lower,3.0864537662922715,1.0001074038
2025-05-21,-3.424759206598391,PC1,lower,3.424759206598391,0.9998966177
2021-06-29,-3.0584136713992964,PC10,lower,3.0584136713992964,1.00006596
2021-09-17,-3.1335438554432042,PC10,lower,3.1335438554432042,0.9998319113
2021-10-26,-3.662556259247385,PC10,lower,3.662556259247385,1.0001352867
2021-04-30,-4.184221070611403,PC2,lower,4.184221070611403,0.99982417
2021-05-19,3.0964860048660237,PC2,upper,3.0964860048660237,0.99992609
2022-11-08,-3.346509193729598,PC2,lower,3.346509193729598,0.9999817544
2022-12-14,-3.5850148117763054,PC2,lower,3.5850148117763054,0.9997852382
2023-06-15,3.6113876617844585,PC2,upper,3.6113876617844585,1.0000848915
2024-07-05,-3.5281192250363542,PC2,lower,3.5281192250363542,1.0000076608
2025-02-17,-3.1560517476120595,PC2,lower,3.1560517476120595,0.9999588877
2025-04-06,3.4865591097031188,PC2,upper,3.4865591097031188,0.9999427775
2021-04-03,3.0623572801616916,PC3,upper,3.0623572801616916,1.00279087
2021-04-16,3.2109772507197114,PC3,upper,3.2109772507197114,1.00103346
2021-05-17,-3.191959481112826,PC3,lower,3.191959481112826,1.00009976
2021-05-22,-3.0250586012984635,PC3,lower,3.0250586012984635,1.00080685
2021-06-21,3.2254039136292043,PC3,upper,3.2254039136292043,1.00025988
2022-01-08,-3.2766130447570023,PC3,lower,3.2766130447570023,0.9995124213
2022-06-13,-3.244163420234356,PC3,lower,3.244163420234356,1.0004335005
2023-03-12,4.088334473440485,PC3,upper,4.088334473440485,0.9920691726
2023-04-10,-4.895949053060929,PC3,lower,4.895949053060929,0.9997167138
2025-09-17,-3.4645285018035707,PC3,lower,3.4645285018035707,0.9999034888
2022-05-13,-3.223912680128203,PC4,lower,3.223912680128203,1.000346567
2022-06-16,3.392413662534569,PC4,upper,3.392413662534569,1.0003675511
2022-11-05,-3.706189049175754,PC4,lower,3.706189049175754,0.9999038655
2026-02-22,3.3286542210006855,PC4,upper,3.3286542210006855,0.9998603842
2021-09-08,-3.0544955765029647,PC5,lower,3.0544955765029647,1.0003046
2021-09-09,-3.22593925025955,PC5,lower,3.22593925025955,1.00020989
2022-12-15,3.3293903306582453,PC5,upper,3.3293903306582453,1.0000154917
2023-01-09,3.12088957701441,PC5,upper,3.12088957701441,1.0000461006
2023-07-03,-3.375077575241987,PC5,lower,3.375077575241987,0.999980028
2023-12-13,-3.4881122833087215,PC5,lower,3.4881122833087215,1.0000028456
2024-09-19,-3.9147190217857815,PC5,lower,3.9147190217857815,0.9999452165
2025-12-10,-3.311758521553126,PC5,lower,3.311758521553126,0.9997767796
2022-04-08,3.066422520726221,PC6,upper,3.066422520726221,0.9997413001
2023-10-21,3.160990381733043,PC6,upper,3.160990381733043,0.9999493196
2024-07-27,-3.6276153265247313,PC6,lower,3.6276153265247313,1.0000548371
2025-01-09,-3.2075299322396003,PC6,lower,3.2075299322396003,1.0000183102
2025-06-20,3.1125300654186527,PC6,upper,3.1125300654186527,0.9999424981
2021-06-17,4.005095648726649,PC7,upper,4.005095648726649,1.00071689
2021-07-28,3.404078708919561,PC7,upper,3.404078708919561,0.99979753
2024-05-07,3.077298931565481,PC7,upper,3.077298931565481,0.9998499447
2024-08-19,-3.428107135318756,PC7,lower,3.428107135318756,1.0001667944
2024-12-02,3.188118803302145,PC7,upper,3.188118803302145,0.9999560848
2021-02-24,-3.0396000547662503,PC8,lower,3.0396000547662503,1.00022884
2021-07-30,-3.8619994726269846,PC8,lower,3.8619994726269846,0.9998427
2021-09-30,-3.200034494675634,PC8,lower,3.200034494675634,1.0001397459
2021-11-30,-3.0428820978143456,PC8,lower,3.0428820978143456,0.9994562046
2022-05-05,3.5287268815931014,PC8,upper,3.5287268815931014,0.9999578033
2022-09-22,4.399834890159495,PC8,upper,4.399834890159495,0.9999196186
2023-05-09,-3.0689318109854242,PC8,lower,3.0689318109854242,1.0002227066
2021-02-24,3.6434206718824584,PC9,upper,3.6434206718824584,1.00022884
2021-06-01,-3.662472880967649,PC9,lower,3.662472880967649,1.00002504
2021-06-22,3.0574331771192185,PC9,upper,3.0574331771192185,1.00080515
2021-10-28,-3.137009867262564,PC9,lower,3.137009867262564,0.9999210436
2021-11-22,-3.2503093340057814,PC9,lower,3.2503093340057814,0.9999624928
2023-03-04,-3.1091025703966113,PC9,lower,3.1091025703966113,1.0000477882
2023-05-04,3.165635912554915,PC9,upper,3.165635912554915,1.0000621773
2024-05-14,3.0986910247342934,PC9,upper,3.0986910247342934,1.0001042258
