PC,num_hit_days,first_hit_date,last_hit_date,max_abs_z,mean_abs_z,close_on_first_hit,close_on_last_hit
PC1,14,2021-03-17,2025-05-21,6.392149950163712,3.7185423271987372,0.99890232,0.9998966177
PC10,3,2021-06-29,2021-10-26,3.662556259247385,3.2848379286966285,1.00006596,1.0001352867
PC2,8,2021-04-30,2025-04-06,4.184221070611403,3.499293603139915,0.99982417,0.9999427775
PC3,10,2021-04-03,2025-09-17,4.895949053060929,3.4685345020218237,1.00279087,0.9999034888
PC4,4,2022-05-13,2026-02-22,3.706189049175754,3.412792403209803,1.000346567,0.9998603842
PC5,8,2021-09-08,2025-12-10,3.9147190217857815,3.352547767040598,1.0003046,0.9997767796
PC6,5,2022-04-08,2025-06-20,3.6276153265247313,3.23501764532845,0.9997413001,0.9999424981
PC7,5,2021-06-17,2024-12-02,4.005095648726649,3.4205398455665184,1.00071689,0.9999560848
PC8,7,2021-02-24,2023-05-09,4.399834890159495,3.448858528945891,1.00022884,1.0002227066
PC9,8,2021-02-24,2024-05-14,3.662472880967649,3.2655094298654364,1.00022884,1.0001042258
