PC,num_hit_days,first_hit_date,last_hit_date,max_abs_z,mean_abs_z,close_on_first_hit,close_on_last_hit
PC1,11,2021-04-17,2024-11-08,4.900785540883157,3.9008444512064497,1.01152966,1.0004591271
PC10,5,2021-05-13,2023-10-02,3.6320519467056758,3.395267845864693,0.99986797,1.0003325146
PC2,4,2021-04-18,2023-06-18,3.2733609047332126,3.1329243982064714,1.00010421,0.9998080998
PC3,3,2021-04-05,2024-08-05,3.5236478872637647,3.2785547875499526,1.00025367,1.0003646672
PC4,9,2021-06-15,2025-10-29,3.6103727516685966,3.323914725680119,1.00037721,1.0002071808
PC5,6,2021-12-31,2024-01-03,4.230994117559714,3.4792770808837488,1.0001891374,1.0006567475
PC6,5,2021-11-30,2025-12-10,4.220789341981537,3.5272617747542134,1.0002857312,1.0002795385
PC7,4,2021-04-30,2023-06-16,3.6623115079660957,3.3703920047289504,1.00000862,0.9993299392
PC8,3,2021-07-25,2024-04-06,3.512650343789642,3.253342449933596,1.0001628,1.0002236811
PC9,9,2021-03-22,2025-08-18,3.9146293556490193,3.347667033153849,1.00181096,1.0004745672
