window,stablecoin,PC,num_hit_days,num_real_depeg_days,num_matched_days,avg_lead_time_matched,precision,recall,f1_score,specificity,matched_depeg_days,first_match_days,avg_close_price_hit_days
expanding_30d,DAI,PC3,52,23,19,4.0,0.36538461538461536,0.59375,0.45238095238095233,0.9821331889550623,"[Timestamp('2021-11-19 00:00:00'), Timestamp('2021-11-23 00:00:00'), Timestamp('2021-11-29 00:00:00'), Timestamp('2021-12-06 00:00:00'), Timestamp('2021-12-17 00:00:00'), Timestamp('2021-12-21 00:00:00')]","[Timestamp('2021-11-12 00:00:00'), Timestamp('2021-11-21 00:00:00'), Timestamp('2021-11-26 00:00:00'), Timestamp('2021-11-30 00:00:00'), Timestamp('2021-12-13 00:00:00'), Timestamp('2021-12-19 00:00:00')]",0.9992840300403846
expanding_30d,DAI,PC1,28,23,6,3.0,0.21428571428571427,0.25,0.23076923076923075,0.9881529348411416,"[Timestamp('2021-12-17 00:00:00'), Timestamp('2021-12-21 00:00:00')]","[Timestamp('2021-12-14 00:00:00'), Timestamp('2021-12-18 00:00:00')]",0.9991940067357143
expanding_30d,DAI,PC7,37,23,6,2.0,0.16216216216216217,0.2727272727272727,0.20338983050847456,0.9832884097035041,"[Timestamp('2021-03-20 00:00:00'), Timestamp('2021-03-23 00:00:00'), Timestamp('2021-03-26 00:00:00'), Timestamp('2021-12-17 00:00:00'), Timestamp('2021-12-21 00:00:00')]","[Timestamp('2021-03-18 00:00:00'), Timestamp('2021-03-22 00:00:00'), Timestamp('2021-03-24 00:00:00'), Timestamp('2021-12-14 00:00:00'), Timestamp('2021-12-19 00:00:00')]",0.9995264220135135
expanding_30d,DAI,PC4,25,23,4,5.0,0.16,0.18181818181818182,0.1702127659574468,0.9886914378029079,"[Timestamp('2021-11-19 00:00:00'), Timestamp('2021-12-17 00:00:00')]","[Timestamp('2021-11-12 00:00:00'), Timestamp('2021-12-14 00:00:00')]",0.9998090691439999
expanding_30d,DAI,PC8,9,23,3,2.3333333333333335,0.3333333333333333,0.15,0.20689655172413793,0.9967672413793104,"[Timestamp('2021-11-19 00:00:00'), Timestamp('2021-12-17 00:00:00'), Timestamp('2021-12-21 00:00:00')]","[Timestamp('2021-11-16 00:00:00'), Timestamp('2021-12-16 00:00:00'), Timestamp('2021-12-18 00:00:00')]",0.999567863511111
expanding_30d,DAI,PC2,24,23,2,2.5,0.08333333333333333,0.18181818181818182,0.1142857142857143,0.9882163899303695,"[Timestamp('2021-11-19 00:00:00'), Timestamp('2021-12-17 00:00:00')]","[Timestamp('2021-11-17 00:00:00'), Timestamp('2021-12-14 00:00:00')]",1.0003110479541666
expanding_30d,DAI,PC6,24,23,2,3.0,0.08333333333333333,0.1,0.0909090909090909,0.9881593110871906,[Timestamp('2021-11-19 00:00:00')],[Timestamp('2021-11-16 00:00:00')],0.9991432546833333
expanding_30d,DAI,PC5,31,23,1,3.0,0.03225806451612903,0.047619047619047616,0.03846153846153846,0.9838536060279871,[Timestamp('2021-12-17 00:00:00')],[Timestamp('2021-12-14 00:00:00')],0.9990350182580646
expanding_30d,DAI,PC9,31,23,1,2.0,0.03225806451612903,0.047619047619047616,0.03846153846153846,0.9838536060279871,[Timestamp('2021-12-17 00:00:00')],[Timestamp('2021-12-15 00:00:00')],0.9986961495290322
expanding_30d,DAI,PC10,23,23,0,,0.0,0.0,,0.9876344086021506,[],[],0.9984435308347827
expanding_30d,PAX,PC1,112,35,27,2.8333333333333335,0.24107142857142858,0.627906976744186,0.34838709677419355,0.9539544962080173,"[Timestamp('2022-11-29 00:00:00'), Timestamp('2023-03-09 00:00:00'), Timestamp('2023-05-19 00:00:00'), Timestamp('2023-05-24 00:00:00'), Timestamp('2023-07-14 00:00:00'), Timestamp('2023-07-19 00:00:00'), Timestamp('2023-07-21 00:00:00'), Timestamp('2023-07-24 00:00:00'), Timestamp('2023-09-22 00:00:00'), Timestamp('2023-09-29 00:00:00'), Timestamp('2023-10-05 00:00:00'), Timestamp('2023-12-16 00:00:00')]","[Timestamp('2022-11-28 00:00:00'), Timestamp('2023-03-07 00:00:00'), Timestamp('2023-05-18 00:00:00'), Timestamp('2023-05-20 00:00:00'), Timestamp('2023-07-07 00:00:00'), Timestamp('2023-07-15 00:00:00'), Timestamp('2023-07-20 00:00:00'), Timestamp('2023-07-22 00:00:00'), Timestamp('2023-09-18 00:00:00'), Timestamp('2023-09-24 00:00:00'), Timestamp('2023-10-03 00:00:00'), Timestamp('2023-12-15 00:00:00')]",0.9948655398964287
expanding_30d,PAX,PC3,113,35,14,4.714285714285714,0.12389380530973451,0.358974358974359,0.18421052631578946,0.9463123644251626,"[Timestamp('2022-11-29 00:00:00'), Timestamp('2023-03-09 00:00:00'), Timestamp('2023-06-22 00:00:00'), Timestamp('2023-07-03 00:00:00'), Timestamp('2023-08-18 00:00:00'), Timestamp('2023-09-01 00:00:00'), Timestamp('2023-09-22 00:00:00')]","[Timestamp('2022-11-23 00:00:00'), Timestamp('2023-03-02 00:00:00'), Timestamp('2023-06-15 00:00:00'), Timestamp('2023-07-01 00:00:00'), Timestamp('2023-08-17 00:00:00'), Timestamp('2023-08-29 00:00:00'), Timestamp('2023-09-15 00:00:00')]",1.0014092828902654
expanding_30d,PAX,PC2,113,35,12,4.0,0.10619469026548672,0.32432432432432434,0.16,0.9450489662676823,"[Timestamp('2023-04-20 00:00:00'), Timestamp('2023-05-04 00:00:00'), Timestamp('2023-05-19 00:00:00'), Timestamp('2023-07-14 00:00:00'), Timestamp('2024-07-01 00:00:00')]","[Timestamp('2023-04-14 00:00:00'), Timestamp('2023-05-03 00:00:00'), Timestamp('2023-05-12 00:00:00'), Timestamp('2023-07-11 00:00:00'), Timestamp('2024-06-28 00:00:00')]",0.9976027893238938
expanding_30d,PAX,PC10,96,35,10,4.571428571428571,0.10416666666666667,0.2702702702702703,0.15037593984962408,0.9532100108813928,"[Timestamp('2022-11-29 00:00:00'), Timestamp('2023-03-09 00:00:00'), Timestamp('2023-05-19 00:00:00'), Timestamp('2023-06-22 00:00:00'), Timestamp('2023-07-03 00:00:00'), Timestamp('2023-07-14 00:00:00'), Timestamp('2023-12-14 00:00:00')]","[Timestamp('2022-11-24 00:00:00'), Timestamp('2023-03-03 00:00:00'), Timestamp('2023-05-12 00:00:00'), Timestamp('2023-06-19 00:00:00'), Timestamp('2023-06-29 00:00:00'), Timestamp('2023-07-10 00:00:00'), Timestamp('2023-12-11 00:00:00')]",0.9994954554343751
expanding_30d,PAX,PC7,102,35,9,6.5,0.08823529411764706,0.23684210526315788,0.1285714285714286,0.9494839760999457,"[Timestamp('2023-05-19 00:00:00'), Timestamp('2023-07-14 00:00:00')]","[Timestamp('2023-05-12 00:00:00'), Timestamp('2023-07-08 00:00:00')]",0.9996566859245098
expanding_30d,PAX,PC5,84,35,6,3.0,0.07142857142857142,0.18181818181818182,0.10256410256410255,0.9576547231270358,"[Timestamp('2023-05-04 00:00:00'), Timestamp('2023-05-19 00:00:00'), Timestamp('2023-06-22 00:00:00'), Timestamp('2023-07-03 00:00:00'), Timestamp('2023-07-19 00:00:00')]","[Timestamp('2023-05-03 00:00:00'), Timestamp('2023-05-14 00:00:00'), Timestamp('2023-06-19 00:00:00'), Timestamp('2023-07-01 00:00:00'), Timestamp('2023-07-15 00:00:00')]",0.9994915789166667
expanding_30d,PAX,PC4,62,35,5,3.0,0.08064516129032258,0.14285714285714285,0.10309278350515463,0.9690217391304348,"[Timestamp('2021-04-17 00:00:00'), Timestamp('2023-05-04 00:00:00'), Timestamp('2023-05-19 00:00:00'), Timestamp('2023-06-22 00:00:00'), Timestamp('2023-07-03 00:00:00')]","[Timestamp('2021-04-13 00:00:00'), Timestamp('2023-05-03 00:00:00'), Timestamp('2023-05-14 00:00:00'), Timestamp('2023-06-19 00:00:00'), Timestamp('2023-07-01 00:00:00')]",0.9997565723903226
expanding_30d,PAX,PC8,99,35,5,2.75,0.050505050505050504,0.14285714285714285,0.07462686567164178,0.9489962018448183,"[Timestamp('2023-05-19 00:00:00'), Timestamp('2023-06-22 00:00:00'), Timestamp('2023-07-21 00:00:00'), Timestamp('2023-07-24 00:00:00')]","[Timestamp('2023-05-14 00:00:00'), Timestamp('2023-06-19 00:00:00'), Timestamp('2023-07-20 00:00:00'), Timestamp('2023-07-22 00:00:00')]",0.9998881154414141
expanding_30d,PAX,PC9,99,35,5,5.25,0.050505050505050504,0.15151515151515152,0.07575757575757576,0.9490514905149051,"[Timestamp('2023-04-20 00:00:00'), Timestamp('2023-06-22 00:00:00'), Timestamp('2023-08-18 00:00:00'), Timestamp('2023-09-29 00:00:00')]","[Timestamp('2023-04-15 00:00:00'), Timestamp('2023-06-17 00:00:00'), Timestamp('2023-08-11 00:00:00'), Timestamp('2023-09-25 00:00:00')]",0.999974114
expanding_30d,PAX,PC6,76,35,0,,0.0,0.0,,0.9588075880758807,[],[],1.000945211561842
expanding_30d,USDC,PC10,17,32,7,3.6666666666666665,0.4117647058823529,0.23333333333333334,0.2978723404255319,0.9945770065075922,"[Timestamp('2021-06-26 00:00:00'), Timestamp('2021-12-05 00:00:00'), Timestamp('2023-03-20 00:00:00')]","[Timestamp('2021-06-22 00:00:00'), Timestamp('2021-12-03 00:00:00'), Timestamp('2023-03-15 00:00:00')]",1.0004129562882351
expanding_30d,USDC,PC3,36,32,7,5.5,0.19444444444444445,0.21875,0.2058823529411765,0.9842988630211154,"[Timestamp('2022-01-26 00:00:00'), Timestamp('2023-03-20 00:00:00')]","[Timestamp('2022-01-21 00:00:00'), Timestamp('2023-03-14 00:00:00')]",0.999634056236111
expanding_30d,USDC,PC5,33,32,5,3.0,0.15151515151515152,0.20833333333333334,0.1754385964912281,0.9848320693391116,"[Timestamp('2021-03-19 00:00:00'), Timestamp('2021-04-03 00:00:00'), Timestamp('2021-04-06 00:00:00'), Timestamp('2021-04-09 00:00:00'), Timestamp('2021-06-26 00:00:00')]","[Timestamp('2021-03-18 00:00:00'), Timestamp('2021-03-27 00:00:00'), Timestamp('2021-04-05 00:00:00'), Timestamp('2021-04-08 00:00:00'), Timestamp('2021-06-21 00:00:00')]",0.999798528460606
expanding_30d,USDC,PC7,26,32,4,2.6666666666666665,0.15384615384615385,0.14285714285714285,0.14814814814814817,0.9880952380952381,"[Timestamp('2021-03-19 00:00:00'), Timestamp('2022-01-26 00:00:00'), Timestamp('2023-03-20 00:00:00')]","[Timestamp('2021-03-18 00:00:00'), Timestamp('2022-01-21 00:00:00'), Timestamp('2023-03-18 00:00:00')]",0.9995665394538461
expanding_30d,USDC,PC1,11,32,3,6.0,0.2727272727272727,0.11538461538461539,0.16216216216216214,0.995682676740421,[Timestamp('2023-03-20 00:00:00')],[Timestamp('2023-03-14 00:00:00')],0.9978502162727273
expanding_30d,USDC,PC8,14,32,2,3.0,0.14285714285714285,0.06666666666666667,0.09090909090909091,0.9935100054083288,"[Timestamp('2021-12-10 00:00:00'), Timestamp('2023-03-20 00:00:00')]","[Timestamp('2021-12-06 00:00:00'), Timestamp('2023-03-18 00:00:00')]",0.9992087907928573
expanding_30d,USDC,PC2,21,32,2,1.5,0.09523809523809523,0.08695652173913043,0.0909090909090909,0.9897574123989218,"[Timestamp('2021-03-22 00:00:00'), Timestamp('2023-03-20 00:00:00')]","[Timestamp('2021-03-21 00:00:00'), Timestamp('2023-03-18 00:00:00')]",1.0011346382619049
expanding_30d,USDC,PC9,32,32,2,2.0,0.0625,0.06451612903225806,0.06349206349206349,0.9837837837837838,[Timestamp('2023-03-20 00:00:00')],[Timestamp('2023-03-18 00:00:00')],0.999446998953125
expanding_30d,USDC,PC6,30,32,1,3.0,0.03333333333333333,0.034482758620689655,0.03389830508474576,0.984332793084819,[Timestamp('2021-06-18 00:00:00')],[Timestamp('2021-06-15 00:00:00')],0.9995894625066665
expanding_30d,USDC,PC4,24,32,0,,0.0,0.0,,0.987027027027027,[],[],0.9998803603875001
expanding_30d,USDT,PC3,30,28,6,3.0,0.2,0.2,0.20000000000000004,0.9870550161812298,"[Timestamp('2022-05-11 00:00:00'), Timestamp('2025-01-01 00:00:00')]","[Timestamp('2022-05-09 00:00:00'), Timestamp('2024-12-28 00:00:00')]",0.9987720301766667
expanding_30d,USDT,PC7,32,28,6,6.0,0.1875,0.25,0.21428571428571427,0.985968699406368,[Timestamp('2022-05-11 00:00:00')],[Timestamp('2022-05-05 00:00:00')],1.00066815294375
expanding_30d,USDT,PC4,28,28,5,3.75,0.17857142857142858,0.2631578947368421,0.2127659574468085,0.9875876956287102,"[Timestamp('2021-04-11 00:00:00'), Timestamp('2022-11-10 00:00:00'), Timestamp('2024-03-08 00:00:00'), Timestamp('2024-12-05 00:00:00')]","[Timestamp('2021-04-05 00:00:00'), Timestamp('2022-11-08 00:00:00'), Timestamp('2024-03-04 00:00:00'), Timestamp('2024-12-02 00:00:00')]",1.0004584582321427
expanding_30d,USDT,PC8,32,28,4,4.0,0.125,0.19047619047619047,0.1509433962264151,0.9849137931034483,"[Timestamp('2021-04-16 00:00:00'), Timestamp('2022-05-11 00:00:00')]","[Timestamp('2021-04-14 00:00:00'), Timestamp('2022-05-05 00:00:00')]",1.00091165069375
expanding_30d,USDT,PC9,29,28,3,4.0,0.10344827586206896,0.14285714285714285,0.12000000000000001,0.9859762675296656,[Timestamp('2024-03-08 00:00:00')],[Timestamp('2024-03-04 00:00:00')],1.0006436765965516
expanding_30d,USDT,PC2,18,28,2,5.5,0.1111111111111111,0.11764705882352941,0.11428571428571428,0.99140708915145,"[Timestamp('2021-02-28 00:00:00'), Timestamp('2026-02-04 00:00:00')]","[Timestamp('2021-02-21 00:00:00'), Timestamp('2026-01-31 00:00:00')]",1.0018318389055556
expanding_30d,USDT,PC10,19,28,2,3.5,0.10526315789473684,0.07692307692307693,0.08888888888888889,0.9908306364617044,"[Timestamp('2024-03-08 00:00:00'), Timestamp('2026-02-04 00:00:00')]","[Timestamp('2024-03-05 00:00:00'), Timestamp('2026-01-31 00:00:00')]",1.0001879961105264
expanding_30d,USDT,PC6,16,28,1,3.0,0.0625,0.04,0.048780487804878044,0.9919181034482759,[Timestamp('2021-04-11 00:00:00')],[Timestamp('2021-04-08 00:00:00')],1.000151351575
expanding_30d,USDT,PC1,25,28,0,,0.0,0.0,,0.9865951742627346,[],[],1.001402378404
expanding_30d,USDT,PC5,19,28,0,,0.0,0.0,,0.9897739504843919,[],[],1.0000079219578948
expanding_30d,UST,PC7,43,32,9,3.25,0.20930232558139536,0.2903225806451613,0.24324324324324326,0.9230769230769231,"[Timestamp('2021-04-17 00:00:00'), Timestamp('2021-05-20 00:00:00'), Timestamp('2021-11-13 00:00:00'), Timestamp('2022-05-09 00:00:00')]","[Timestamp('2021-04-12 00:00:00'), Timestamp('2021-05-19 00:00:00'), Timestamp('2021-11-10 00:00:00'), Timestamp('2022-05-05 00:00:00')]",0.9942248163906975
expanding_30d,UST,PC4,21,32,5,3.5,0.23809523809523808,0.16666666666666666,0.19607843137254902,0.963882618510158,"[Timestamp('2021-01-28 00:00:00'), Timestamp('2022-05-09 00:00:00')]","[Timestamp('2021-01-23 00:00:00'), Timestamp('2022-05-07 00:00:00')]",0.9893466256571428
expanding_30d,UST,PC5,21,32,5,3.5,0.23809523809523808,0.2,0.21739130434782608,0.963882618510158,"[Timestamp('2021-11-13 00:00:00'), Timestamp('2022-05-09 00:00:00')]","[Timestamp('2021-11-10 00:00:00'), Timestamp('2022-05-05 00:00:00')]",0.9999430023095237
expanding_30d,UST,PC3,26,32,5,4.333333333333333,0.19230769230769232,0.22727272727272727,0.20833333333333331,0.9530201342281879,"[Timestamp('2021-01-28 00:00:00'), Timestamp('2021-04-17 00:00:00'), Timestamp('2021-11-13 00:00:00')]","[Timestamp('2021-01-25 00:00:00'), Timestamp('2021-04-10 00:00:00'), Timestamp('2021-11-10 00:00:00')]",0.9963337848115384
expanding_30d,UST,PC10,16,32,4,4.333333333333333,0.25,0.125,0.16666666666666666,0.9729119638826185,"[Timestamp('2021-11-13 00:00:00'), Timestamp('2021-11-30 00:00:00'), Timestamp('2022-05-09 00:00:00')]","[Timestamp('2021-11-09 00:00:00'), Timestamp('2021-11-23 00:00:00'), Timestamp('2022-05-07 00:00:00')]",0.98667828156875
