PC,num_hit_days,first_hit_date,last_hit_date,max_abs_z,mean_abs_z,close_on_first_hit,close_on_last_hit
PC1,15,2021-02-10,2026-02-24,5.1211394424141226,3.7937901571040396,1.00046517,1.0001752617
PC10,4,2021-03-16,2025-01-17,3.968500637729505,3.3135909017431886,0.99915585,0.999961591
PC2,15,2021-04-17,2026-01-31,4.205998633848536,3.455518249681383,1.01031107,0.9988006732
PC3,13,2021-03-12,2026-02-02,4.2286047471507215,3.6615615659665295,0.99816713,0.9990490415
PC4,14,2021-03-19,2025-11-07,3.9445804249693266,3.354287428971816,1.00356647,0.9997344138
PC5,8,2021-11-30,2025-12-10,3.5354752331143695,3.3200846347473414,0.9993210689,0.9999535117
PC6,10,2021-04-30,2025-08-13,3.9549715938967065,3.586641769184385,0.99882592,0.9995747358
PC7,14,2021-02-11,2025-11-06,3.9421333291963743,3.360953657755342,1.00117164,0.9995111083
PC8,10,2021-02-26,2025-09-02,3.578413289722095,3.1905057291967234,0.99861497,0.9998877726
PC9,9,2021-05-19,2025-10-10,3.645971657788774,3.392292852476761,0.99924802,1.0000973304
