hit_date,z_score,PC,hit_direction,abs_z_score,close_price
2021-03-19,4.189412125313777,PC1,upper,4.189412125313777,1.0024375
2021-03-20,3.1625364320703184,PC1,upper,3.1625364320703184,1.00215144
2021-04-17,4.173666889919132,PC1,upper,4.173666889919132,1.01049621
2021-05-24,-3.1879322747249494,PC1,lower,3.1879322747249494,1.00028747
2021-12-05,-3.1196745839562263,PC1,lower,3.1196745839562263,0.9987145156
2022-11-09,3.1186759226854663,PC1,upper,3.1186759226854663,1.0003421024
2022-11-10,4.979692290787652,PC1,upper,4.979692290787652,1.00069176
2022-11-11,3.629942836854265,PC1,upper,3.629942836854265,1.0007342891
2023-03-10,-3.709772200637632,PC1,lower,3.709772200637632,0.999478547
2023-03-11,-9.090387962654741,PC1,lower,9.090387962654741,0.9715
2023-03-12,-3.05356303344679,PC1,lower,3.05356303344679,0.9920691726
2024-08-18,3.1366517619185736,PC1,upper,3.1366517619185736,1.0004768332
2025-01-20,-3.0351932730846793,PC1,lower,3.0351932730846793,1.0001074038
2025-05-21,-3.656366827600172,PC1,lower,3.656366827600172,0.9998966177
2021-04-24,3.1181889520470762,PC10,upper,3.1181889520470762,1.00006491
2021-05-17,-4.146750960400643,PC10,lower,4.146750960400643,1.00009976
2021-06-17,-4.807794555758881,PC10,lower,4.807794555758881,1.00071689
2021-11-14,3.2302747041083077,PC10,upper,3.2302747041083077,0.9996466273
2022-05-06,3.1545332389389356,PC10,upper,3.1545332389389356,1.000072451
2023-06-12,-3.0341377171481474,PC10,lower,3.0341377171481474,1.0002156112
2023-12-11,3.1412197405360107,PC10,upper,3.1412197405360107,1.0000800348
2024-01-28,3.3036264605181227,PC10,upper,3.3036264605181227,1.0001225105
2021-03-17,-4.803011420741231,PC2,lower,4.803011420741231,0.99890232
2021-03-18,4.609232260751627,PC2,upper,4.609232260751627,1.00099445
2021-04-17,-3.1935572398216667,PC2,lower,3.1935572398216667,1.01049621
2021-04-18,-4.190514726835991,PC2,lower,4.190514726835991,1.00009452
2021-04-30,-3.2178044747003542,PC2,lower,3.2178044747003542,0.99982417
2021-12-02,-3.502829879683965,PC2,lower,3.502829879683965,0.9988388234
2022-05-11,-3.2418025291128694,PC2,lower,3.2418025291128694,1.0007660664
2022-05-12,-3.360831401197112,PC2,lower,3.360831401197112,1.0006588844
2022-11-08,4.0300099169651835,PC2,upper,4.0300099169651835,0.9999817544
2023-03-13,3.0552730174438394,PC2,upper,3.0552730174438394,0.998946756
2023-03-14,3.2580482196614065,PC2,upper,3.2580482196614065,0.9991785646
2023-03-15,3.2733247592548205,PC2,upper,3.2733247592548205,1.0001843997
2023-03-18,3.101475889519315,PC2,upper,3.101475889519315,0.9995019398
2023-06-15,3.44657419993588,PC2,upper,3.44657419993588,1.0000848915
2024-07-05,-3.6986792834223388,PC2,lower,3.6986792834223388,1.0000076608
2024-08-05,3.4814215534490183,PC2,upper,3.4814215534490183,1.0000165762
2024-11-05,-4.685476345741198,PC2,lower,4.685476345741198,1.0000373032
2025-01-18,4.705668042671907,PC2,upper,4.705668042671907,1.0000331259
2025-06-22,3.135076218474423,PC2,upper,3.135076218474423,0.9998939788
2025-10-09,3.0899880124885786,PC2,upper,3.0899880124885786,0.9998283045
2026-02-05,3.2168622059041536,PC2,upper,3.2168622059041536,0.9999204461
2021-04-18,3.5278254344967594,PC3,upper,3.5278254344967594,1.00009452
2021-04-30,5.329748800672062,PC3,upper,5.329748800672062,0.99982417
