timestamp,matched_depeg_date,lead_time_days,PC,feature,loading,abs_loading
2021-04-04,2021-04-04,0,PC10,percent_change_24h,0.30245661463366097,0.30245661463366097
2021-04-04,2021-04-04,0,PC10,percent_change_7d,-0.20154355167282717,0.20154355167282717
2021-04-04,2021-04-04,0,PC10,percent_change_30d,-0.16224429028693857,0.16224429028693857
2021-04-04,2021-04-04,0,PC10,volume_percent_change_24h,-0.38369906485644006,0.38369906485644006
2021-04-04,2021-04-04,0,PC10,volume_percent_change_7d,0.16419215989338684,0.16419215989338684
2021-04-04,2021-04-04,0,PC10,volume_percent_change_30d,0.11165746403104501,0.11165746403104501
2021-04-04,2021-04-04,0,PC10,market_cap_percent_change_24h,-0.12400064830136706,0.12400064830136706
2021-04-04,2021-04-04,0,PC10,market_cap_percent_change_7d,0.13339107959329508,0.13339107959329508
2021-04-04,2021-04-04,0,PC10,market_cap_percent_change_30d,-0.091674744859034,0.091674744859034
2021-04-04,2021-04-04,0,PC10,circulating_supply_percent_change_24h,-0.09160178859422147,0.09160178859422147
2021-04-04,2021-04-04,0,PC10,circulating_supply_percent_change_7d,0.12521166102517636,0.12521166102517636
2021-04-04,2021-04-04,0,PC10,circulating_supply_percent_change_30d,-0.09428317414510681,0.09428317414510681
2021-04-04,2021-04-04,0,PC10,realized_daily_volatility,0.5677755579020166,0.5677755579020166
2021-04-04,2021-04-04,0,PC10,peg_error,-0.04695976858078102,0.04695976858078102
2021-04-04,2021-04-04,0,PC10,abs_peg_error,-0.03350677799423909,0.03350677799423909
2021-04-04,2021-04-04,0,PC10,price_deviation_5d,-0.341725923696221,0.341725923696221
2021-04-04,2021-04-04,0,PC10,price_deviation_30d,0.32090136136159003,0.32090136136159003
2021-04-04,2021-04-04,0,PC10,downward_price_deviation_5d,-0.03792154320176492,0.03792154320176492
2021-04-04,2021-04-04,0,PC10,downward_price_deviation_30d,0.02913442104061866,0.02913442104061866
2021-04-04,2021-04-04,0,PC10,fear_greed_index,-0.08410606607066375,0.08410606607066375
2021-04-04,2021-04-04,0,PC10,fed_funds_rate,-0.1599431298456945,0.1599431298456945
2021-04-08,2021-04-11,3,PC6,percent_change_24h,0.30486833782833395,0.30486833782833395
2021-04-08,2021-04-11,3,PC6,percent_change_7d,0.05724448822537995,0.05724448822537995
2021-04-08,2021-04-11,3,PC6,percent_change_30d,-0.0418489519214422,0.0418489519214422
2021-04-08,2021-04-11,3,PC6,volume_percent_change_24h,0.4880803941039969,0.4880803941039969
2021-04-08,2021-04-11,3,PC6,volume_percent_change_7d,0.2943219485081506,0.2943219485081506
2021-04-08,2021-04-11,3,PC6,volume_percent_change_30d,-0.00023976310776727537,0.00023976310776727537
2021-04-08,2021-04-11,3,PC6,market_cap_percent_change_24h,-0.15433497004652108,0.15433497004652108
2021-04-08,2021-04-11,3,PC6,market_cap_percent_change_7d,0.08209020183343847,0.08209020183343847
2021-04-08,2021-04-11,3,PC6,market_cap_percent_change_30d,0.07892793741729053,0.07892793741729053
2021-04-08,2021-04-11,3,PC6,circulating_supply_percent_change_24h,-0.11893748487665856,0.11893748487665856
