window,stablecoin,PC,num_hit_days,num_real_depeg_days,num_matched_days,avg_lead_time_matched,precision,recall,f1_score,specificity,matched_depeg_days,first_match_days,avg_close_price_hit_days
rolling_90d,DAI,PC9,15,5,2,4.0,0.13333333333333333,0.4,0.2,0.9928295642581357,"[Timestamp('2021-11-23 00:00:00'), Timestamp('2021-12-06 00:00:00')]","[Timestamp('2021-11-17 00:00:00'), Timestamp('2021-12-04 00:00:00')]",1.0005252102000002
rolling_90d,DAI,PC10,16,5,2,6.0,0.125,0.3333333333333333,0.18181818181818182,0.9922779922779923,[Timestamp('2021-11-23 00:00:00')],[Timestamp('2021-11-17 00:00:00')],1.0007014992937502
rolling_90d,DAI,PC5,17,5,1,7.0,0.058823529411764705,0.2,0.0909090909090909,0.9911797133406836,[Timestamp('2021-11-23 00:00:00')],[Timestamp('2021-11-16 00:00:00')],0.9995186151588233
rolling_90d,DAI,PC3,20,5,1,1.0,0.05,0.2,0.08000000000000002,0.9895259095920618,[Timestamp('2023-03-11 00:00:00')],[Timestamp('2023-03-10 00:00:00')],1.0001462350149999
rolling_90d,DAI,PC7,21,5,1,6.0,0.047619047619047616,0.2,0.07692307692307693,0.9889746416758545,[Timestamp('2021-12-06 00:00:00')],[Timestamp('2021-11-30 00:00:00')],0.9999717084809525
rolling_90d,DAI,PC8,21,5,1,7.0,0.047619047619047616,0.2,0.07692307692307693,0.9889746416758545,[Timestamp('2021-11-23 00:00:00')],[Timestamp('2021-11-16 00:00:00')],1.000002888842857
rolling_90d,DAI,PC4,23,5,1,7.0,0.043478260869565216,0.2,0.07142857142857142,0.9878721058434399,[Timestamp('2021-11-23 00:00:00')],[Timestamp('2021-11-16 00:00:00')],1.0000220931130435
rolling_90d,DAI,PC1,23,5,0,,0.0,0.0,,0.9873417721518988,[],[],0.9977495565739132
rolling_90d,DAI,PC2,20,5,0,,0.0,0.0,,0.9889928453494772,[],[],1.000378757775
rolling_90d,DAI,PC6,18,5,0,,0.0,0.0,,0.9900826446280991,[],[],1.0001525083833331
rolling_90d,PAX,PC1,80,23,8,2.25,0.1,0.3076923076923077,0.15094339622641512,0.959866220735786,"[Timestamp('2021-09-09 00:00:00'), Timestamp('2023-04-20 00:00:00'), Timestamp('2023-05-04 00:00:00'), Timestamp('2023-12-14 00:00:00')]","[Timestamp('2021-09-08 00:00:00'), Timestamp('2023-04-14 00:00:00'), Timestamp('2023-05-03 00:00:00'), Timestamp('2023-12-13 00:00:00')]",0.99781452267125
rolling_90d,PAX,PC6,95,23,8,2.6666666666666665,0.08421052631578947,0.3333333333333333,0.13445378151260504,0.951369480156512,"[Timestamp('2021-09-09 00:00:00'), Timestamp('2023-03-09 00:00:00'), Timestamp('2023-04-20 00:00:00'), Timestamp('2023-07-03 00:00:00'), Timestamp('2023-09-04 00:00:00'), Timestamp('2023-09-09 00:00:00')]","[Timestamp('2021-09-08 00:00:00'), Timestamp('2023-03-06 00:00:00'), Timestamp('2023-04-15 00:00:00'), Timestamp('2023-07-01 00:00:00'), Timestamp('2023-09-03 00:00:00'), Timestamp('2023-09-05 00:00:00')]",0.9992009214936841
rolling_90d,PAX,PC9,99,23,8,3.6,0.08080808080808081,0.3333333333333333,0.13008130081300814,0.9491620111731843,"[Timestamp('2023-03-09 00:00:00'), Timestamp('2023-04-20 00:00:00'), Timestamp('2023-07-03 00:00:00'), Timestamp('2023-07-24 00:00:00'), Timestamp('2023-12-14 00:00:00')]","[Timestamp('2023-03-08 00:00:00'), Timestamp('2023-04-15 00:00:00'), Timestamp('2023-07-01 00:00:00'), Timestamp('2023-07-19 00:00:00'), Timestamp('2023-12-09 00:00:00')]",0.9996793000343435
rolling_90d,PAX,PC5,101,23,8,2.5714285714285716,0.07920792079207921,0.34782608695652173,0.12903225806451613,0.9481316229782487,"[Timestamp('2021-09-09 00:00:00'), Timestamp('2023-04-20 00:00:00'), Timestamp('2023-05-04 00:00:00'), Timestamp('2023-07-03 00:00:00'), Timestamp('2023-08-18 00:00:00'), Timestamp('2023-11-16 00:00:00'), Timestamp('2023-12-14 00:00:00')]","[Timestamp('2021-09-08 00:00:00'), Timestamp('2023-04-18 00:00:00'), Timestamp('2023-05-03 00:00:00'), Timestamp('2023-07-01 00:00:00'), Timestamp('2023-08-16 00:00:00'), Timestamp('2023-11-09 00:00:00'), Timestamp('2023-12-11 00:00:00')]",0.9991614202970295
rolling_90d,PAX,PC2,81,23,7,4.2,0.08641975308641975,0.28,0.1320754716981132,0.9588202559821926,"[Timestamp('2023-04-20 00:00:00'), Timestamp('2023-05-04 00:00:00'), Timestamp('2023-07-14 00:00:00'), Timestamp('2023-12-14 00:00:00'), Timestamp('2023-12-16 00:00:00')]","[Timestamp('2023-04-14 00:00:00'), Timestamp('2023-05-03 00:00:00'), Timestamp('2023-07-07 00:00:00'), Timestamp('2023-12-08 00:00:00'), Timestamp('2023-12-15 00:00:00')]",0.9990972766246915
rolling_90d,PAX,PC3,76,23,5,3.5,0.06578947368421052,0.23809523809523808,0.10309278350515465,0.9604677060133631,"[Timestamp('2021-09-07 00:00:00'), Timestamp('2023-04-20 00:00:00'), Timestamp('2023-11-16 00:00:00'), Timestamp('2023-12-14 00:00:00')]","[Timestamp('2021-09-06 00:00:00'), Timestamp('2023-04-14 00:00:00'), Timestamp('2023-11-10 00:00:00'), Timestamp('2023-12-13 00:00:00')]",1.0000126688407893
rolling_90d,PAX,PC4,88,23,4,3.6666666666666665,0.045454545454545456,0.16666666666666666,0.07142857142857144,0.9532033426183844,"[Timestamp('2021-04-17 00:00:00'), Timestamp('2023-04-20 00:00:00'), Timestamp('2023-05-04 00:00:00')]","[Timestamp('2021-04-13 00:00:00'), Timestamp('2023-04-14 00:00:00'), Timestamp('2023-05-03 00:00:00')]",0.9997631552488637
rolling_90d,PAX,PC8,86,23,3,2.0,0.03488372093023256,0.14285714285714285,0.056074766355140186,0.9537861915367484,"[Timestamp('2021-09-07 00:00:00'), Timestamp('2023-07-03 00:00:00'), Timestamp('2023-12-14 00:00:00')]","[Timestamp('2021-09-06 00:00:00'), Timestamp('2023-07-01 00:00:00'), Timestamp('2023-12-11 00:00:00')]",0.9999479591383722
rolling_90d,PAX,PC7,92,23,2,3.0,0.021739130434782608,0.08695652173913043,0.034782608695652174,0.9498886414253898,"[Timestamp('2021-04-17 00:00:00'), Timestamp('2021-09-09 00:00:00')]","[Timestamp('2021-04-12 00:00:00'), Timestamp('2021-09-08 00:00:00')]",0.9996539887630435
rolling_90d,PAX,PC10,93,23,2,3.5,0.021505376344086023,0.08695652173913043,0.034482758620689655,0.9493600445186422,"[Timestamp('2023-03-09 00:00:00'), Timestamp('2023-08-18 00:00:00')]","[Timestamp('2023-03-03 00:00:00'), Timestamp('2023-08-17 00:00:00')]",1.0003375384892472
rolling_90d,USDC,PC5,15,3,1,1.0,0.06666666666666667,0.5,0.11764705882352941,0.9922907488986784,[Timestamp('2023-03-11 00:00:00')],[Timestamp('2023-03-10 00:00:00')],0.9999012787533332
rolling_90d,USDC,PC2,26,3,1,1.0,0.038461538461538464,0.5,0.07142857142857144,0.9862410566868465,[Timestamp('2023-03-11 00:00:00')],[Timestamp('2023-03-10 00:00:00')],1.0004842749076923
rolling_90d,USDC,PC1,13,3,0,,0.0,0.0,,0.9928571428571429,[],[],0.9985450312615385
rolling_90d,USDC,PC3,22,3,0,,0.0,0.0,,0.9878987898789879,[],[],0.9996994214363635
rolling_90d,USDC,PC4,15,3,0,,0.0,0.0,,0.9917446340121079,[],[],0.9999560537600001
rolling_90d,USDC,PC6,8,3,0,,0.0,0.0,,0.9955971381397909,[],[],1.0000412935625
rolling_90d,USDC,PC7,17,3,0,,0.0,0.0,,0.9906439185470556,[],[],0.9999825692294116
rolling_90d,USDC,PC8,14,3,0,,0.0,0.0,,0.992294991744634,[],[],0.9999782151357144
rolling_90d,USDC,PC9,13,3,0,,0.0,0.0,,0.9928453494771602,[],[],1.000034873553846
rolling_90d,USDC,PC10,10,3,0,,0.0,0.0,,0.9944964226747386,[],[],1.00046895461
rolling_90d,USDT,PC10,14,2,1,7.0,0.07142857142857142,0.5,0.125,0.9928453494771602,[Timestamp('2021-04-17 00:00:00')],[Timestamp('2021-04-10 00:00:00')],1.0001426276928571
rolling_90d,USDT,PC2,15,2,1,1.0,0.06666666666666667,0.5,0.11764705882352941,0.9922992299229924,[Timestamp('2023-03-11 00:00:00')],[Timestamp('2023-03-10 00:00:00')],1.0002365522533332
rolling_90d,USDT,PC1,19,2,1,1.0,0.05263157894736842,0.5,0.09523809523809525,0.9901044529961517,[Timestamp('2023-03-11 00:00:00')],[Timestamp('2023-03-10 00:00:00')],1.0006179618105262
rolling_90d,USDT,PC3,18,2,0,,0.0,0.0,,0.9900990099009901,[],[],1.0000018108055555
rolling_90d,USDT,PC4,19,2,0,,0.0,0.0,,0.9895489548954896,[],[],1.0001936505736841
rolling_90d,USDT,PC5,16,2,0,,0.0,0.0,,0.9911991199119912,[],[],1.0005135531812501
rolling_90d,USDT,PC6,13,2,0,,0.0,0.0,,0.9928492849284929,[],[],1.0003333821384612
rolling_90d,USDT,PC7,17,2,0,,0.0,0.0,,0.9906490649064906,[],[],1.0007572733999999
rolling_90d,USDT,PC8,13,2,0,,0.0,0.0,,0.9928492849284929,[],[],1.0006281165769229
rolling_90d,USDT,PC9,12,2,0,,0.0,0.0,,0.9933993399339934,[],[],1.0003011484583333
rolling_90d,UST,PC7,19,25,5,4.0,0.2631578947368421,0.22727272727272727,0.24390243902439024,0.964824120603015,"[Timestamp('2021-04-17 00:00:00'), Timestamp('2021-05-20 00:00:00'), Timestamp('2022-05-09 00:00:00')]","[Timestamp('2021-04-10 00:00:00'), Timestamp('2021-05-17 00:00:00'), Timestamp('2022-05-07 00:00:00')]",1.000254777126316
rolling_90d,UST,PC3,23,25,4,2.0,0.17391304347826086,0.18181818181818182,0.17777777777777776,0.9527363184079602,"[Timestamp('2021-11-13 00:00:00'), Timestamp('2022-05-09 00:00:00')]","[Timestamp('2021-11-10 00:00:00'), Timestamp('2022-05-08 00:00:00')]",0.9981223092434782
rolling_90d,UST,PC4,13,25,3,2.5,0.23076923076923078,0.12,0.15789473684210525,0.9750623441396509,"[Timestamp('2021-11-13 00:00:00'), Timestamp('2022-05-09 00:00:00')]","[Timestamp('2021-11-10 00:00:00'), Timestamp('2022-05-07 00:00:00')]",1.0002377561307692
rolling_90d,UST,PC1,16,25,3,3.0,0.1875,0.13636363636363635,0.15789473684210525,0.9680589680589681,[Timestamp('2021-11-13 00:00:00')],[Timestamp('2021-11-10 00:00:00')],0.98192867226875
rolling_90d,UST,PC10,17,25,3,4.666666666666667,0.17647058823529413,0.125,0.14634146341463414,0.9649122807017544,"[Timestamp('2021-04-17 00:00:00'), Timestamp('2021-05-20 00:00:00'), Timestamp('2021-11-30 00:00:00')]","[Timestamp('2021-04-16 00:00:00'), Timestamp('2021-05-14 00:00:00'), Timestamp('2021-11-23 00:00:00')]",1.0013322285235293
rolling_90d,UST,PC6,18,25,3,3.0,0.16666666666666666,0.11538461538461539,0.13636363636363638,0.9624060150375939,"[Timestamp('2021-11-30 00:00:00'), Timestamp('2022-05-09 00:00:00')]","[Timestamp('2021-11-25 00:00:00'), Timestamp('2022-05-08 00:00:00')]",1.0023435119444446
rolling_90d,UST,PC2,14,25,2,4.0,0.14285714285714285,0.1,0.11764705882352941,0.9703703703703703,"[Timestamp('2021-05-20 00:00:00'), Timestamp('2021-11-30 00:00:00')]","[Timestamp('2021-05-19 00:00:00'), Timestamp('2021-11-23 00:00:00')]",0.9929653069428571
rolling_90d,UST,PC5,17,25,0,,0.0,0.0,,0.9579207920792079,[],[],0.9999851593941176
rolling_90d,UST,PC8,20,25,0,,0.0,0.0,,0.9502487562189055,[],[],1.001144195575
rolling_90d,UST,PC9,16,25,0,,0.0,0.0,,0.9602977667493796,[],[],0.99926368895625
