PC,num_hit_days,first_hit_date,last_hit_date,max_abs_z,mean_abs_z,close_on_first_hit,close_on_last_hit
PC1,23,2021-11-10,2025-12-30,11.09644179486069,4.654654706937883,0.9877538364,0.9996807244
PC10,16,2021-06-17,2025-09-17,5.899638985713274,3.655670806913169,1.00150146,0.999879806
PC2,20,2021-04-17,2026-02-04,6.242279641064159,3.9498629218244674,1.0103104,0.9992470639
PC3,20,2021-05-19,2025-10-09,8.73613295512141,3.9054290875972377,1.00063869,0.9998290334
PC4,23,2021-05-20,2025-10-09,6.378682017185369,4.040784560147162,1.001125,0.9998290334
PC5,17,2021-04-05,2025-08-04,5.724454938944105,4.013434977519942,1.00020044,0.9998665292
PC6,18,2021-05-24,2025-09-17,5.5106935688691925,3.572910745409739,1.00146933,0.999879806
PC7,21,2021-03-24,2025-11-18,6.929065630757437,3.6469673290423192,1.00191106,1.0001908019
PC8,21,2021-06-18,2025-05-23,6.753848161365119,3.8475744965558243,1.00243656,1.000018377
PC9,15,2021-09-21,2025-10-12,5.171850970624465,3.560033372113779,0.9998751846,1.000196593
