PC,num_hit_days,first_hit_date,last_hit_date,max_abs_z,mean_abs_z,close_on_first_hit,close_on_last_hit
PC1,13,2021-04-03,2025-05-21,11.162125451327196,4.262328974248233,1.00279087,0.9998966177
PC10,10,2021-04-04,2025-04-06,4.3788752124412555,3.4144281903063876,1.00295733,0.9999427775
PC2,26,2021-04-17,2025-07-16,4.845098751567411,3.730969612293001,1.01049621,0.9999099986
PC3,22,2021-04-18,2026-02-05,6.461682105963847,3.7940363955064544,1.00009452,0.9999204461
PC4,15,2021-04-30,2026-01-30,4.906736247145084,3.6316982492423424,0.99982417,0.9997646619
PC5,15,2021-11-21,2025-10-09,5.821309421223021,3.662455234951345,1.0002346445,0.9998283045
PC6,8,2021-05-02,2025-07-09,4.494854276895706,3.3844593718753555,0.99994853,1.0001822316
PC7,17,2022-03-17,2025-10-10,7.024837236764824,3.924323476208906,0.9997839373,1.0000337051
PC8,14,2021-11-16,2025-10-09,8.033597165603076,4.034197839089371,1.0004254468,0.9998283045
PC9,13,2021-05-01,2025-10-09,4.5319745326533765,3.3884587609176395,1.00015383,0.9998283045
