PC,num_hit_days,first_hit_date,last_hit_date,max_abs_z,mean_abs_z,close_on_first_hit,close_on_last_hit
PC1,19,2021-04-17,2025-10-09,7.464387125022963,4.722863661586781,1.01152966,1.0004918299
PC10,14,2021-04-04,2026-01-20,4.620138353555166,3.4951879171878564,1.00340205,0.9987237814
PC2,15,2022-05-10,2025-10-09,7.113278008251459,4.035930740824686,0.9997913626,1.0004918299
PC3,18,2021-04-18,2026-01-30,6.860997601204978,4.0445178116014695,1.00010421,0.998488473
PC4,19,2021-04-18,2026-02-07,6.133213362519649,3.760578886646372,1.00010421,0.9993352162
PC5,16,2021-04-21,2025-09-21,4.266210488817535,3.5141221773674927,0.99993175,1.0004233221
PC6,13,2021-04-08,2025-10-10,5.2682857969048715,3.8004704483409926,1.00016716,1.0017561381
PC7,17,2021-09-03,2026-01-30,8.058464667828432,4.004470693120404,1.00021962,0.998488473
PC8,13,2021-04-20,2025-11-30,6.456536306787738,3.8207423658178357,0.99993812,1.0001848451
PC9,12,2021-04-19,2024-12-19,5.553083445630644,3.5339435933570864,0.99986532,0.9991999499
