window,stablecoin,PC,num_hit_days,num_real_depeg_days,num_matched_days,avg_lead_time_matched,precision,recall,f1_score,specificity,matched_depeg_days,first_match_days,avg_close_price_hit_days
expanding,DAI,PC5,29,23,24,3.25,0.8275862068965517,0.6153846153846154,0.7058823529411765,0.9972914409534128,"[Timestamp('2021-11-11 00:00:00'), Timestamp('2021-11-19 00:00:00'), Timestamp('2021-11-20 00:00:00'), Timestamp('2021-11-23 00:00:00'), Timestamp('2021-11-24 00:00:00'), Timestamp('2021-11-29 00:00:00'), Timestamp('2021-12-06 00:00:00'), Timestamp('2023-03-12 00:00:00')]","[Timestamp('2021-11-10 00:00:00'), Timestamp('2021-11-12 00:00:00'), Timestamp('2021-11-19 00:00:00'), Timestamp('2021-11-20 00:00:00'), Timestamp('2021-11-23 00:00:00'), Timestamp('2021-11-24 00:00:00'), Timestamp('2021-11-29 00:00:00'), Timestamp('2023-03-11 00:00:00')]",1.0000087823137933
expanding,DAI,PC4,28,23,19,3.875,0.6785714285714286,0.5588235294117647,0.6129032258064516,0.9951351351351352,"[Timestamp('2021-11-19 00:00:00'), Timestamp('2021-11-20 00:00:00'), Timestamp('2021-11-23 00:00:00'), Timestamp('2021-11-24 00:00:00'), Timestamp('2021-11-29 00:00:00'), Timestamp('2021-12-06 00:00:00'), Timestamp('2021-12-23 00:00:00'), Timestamp('2021-12-28 00:00:00')]","[Timestamp('2021-11-12 00:00:00'), Timestamp('2021-11-19 00:00:00'), Timestamp('2021-11-20 00:00:00'), Timestamp('2021-11-23 00:00:00'), Timestamp('2021-11-24 00:00:00'), Timestamp('2021-11-29 00:00:00'), Timestamp('2021-12-21 00:00:00'), Timestamp('2021-12-23 00:00:00')]",1.0014561615642859
expanding,DAI,PC8,21,23,17,2.5,0.8095238095238095,0.53125,0.6415094339622642,0.9978378378378379,"[Timestamp('2021-11-11 00:00:00'), Timestamp('2021-11-19 00:00:00'), Timestamp('2021-11-20 00:00:00'), Timestamp('2021-11-23 00:00:00'), Timestamp('2021-11-24 00:00:00'), Timestamp('2021-11-29 00:00:00'), Timestamp('2021-12-06 00:00:00'), Timestamp('2023-03-12 00:00:00')]","[Timestamp('2021-11-10 00:00:00'), Timestamp('2021-11-12 00:00:00'), Timestamp('2021-11-19 00:00:00'), Timestamp('2021-11-20 00:00:00'), Timestamp('2021-11-23 00:00:00'), Timestamp('2021-11-24 00:00:00'), Timestamp('2021-12-05 00:00:00'), Timestamp('2023-03-11 00:00:00')]",0.9999682229619049
expanding,DAI,PC1,24,23,17,3.0,0.7083333333333334,0.5666666666666667,0.6296296296296297,0.9962100703844071,"[Timestamp('2021-11-11 00:00:00'), Timestamp('2021-11-19 00:00:00'), Timestamp('2021-11-23 00:00:00'), Timestamp('2021-12-17 00:00:00'), Timestamp('2021-12-21 00:00:00'), Timestamp('2023-03-12 00:00:00')]","[Timestamp('2021-11-10 00:00:00'), Timestamp('2021-11-12 00:00:00'), Timestamp('2021-11-21 00:00:00'), Timestamp('2021-12-14 00:00:00'), Timestamp('2021-12-17 00:00:00'), Timestamp('2023-03-11 00:00:00')]",0.9981351570083333
expanding,DAI,PC9,19,23,14,2.8333333333333335,0.7368421052631579,0.5384615384615384,0.6222222222222222,0.9973002159827213,"[Timestamp('2021-03-20 00:00:00'), Timestamp('2021-11-11 00:00:00'), Timestamp('2021-11-19 00:00:00'), Timestamp('2021-11-24 00:00:00'), Timestamp('2021-12-17 00:00:00'), Timestamp('2021-12-21 00:00:00')]","[Timestamp('2021-03-18 00:00:00'), Timestamp('2021-11-10 00:00:00'), Timestamp('2021-11-12 00:00:00'), Timestamp('2021-11-23 00:00:00'), Timestamp('2021-12-15 00:00:00'), Timestamp('2021-12-17 00:00:00')]",1.000902197726316
expanding,DAI,PC7,11,23,7,3.0,0.6363636363636364,0.28,0.3888888888888889,0.9978459881529348,"[Timestamp('2021-11-19 00:00:00'), Timestamp('2021-11-20 00:00:00'), Timestamp('2021-11-24 00:00:00')]","[Timestamp('2021-11-12 00:00:00'), Timestamp('2021-11-19 00:00:00'), Timestamp('2021-11-23 00:00:00')]",1.0024066318636362
expanding,DAI,PC2,12,23,7,3.0,0.5833333333333334,0.2916666666666667,0.38888888888888895,0.9973060344827587,"[Timestamp('2021-11-11 00:00:00'), Timestamp('2021-11-19 00:00:00'), Timestamp('2023-03-12 00:00:00')]","[Timestamp('2021-11-10 00:00:00'), Timestamp('2021-11-12 00:00:00'), Timestamp('2023-03-11 00:00:00')]",0.9974792041999999
expanding,DAI,PC6,4,23,4,2.3333333333333335,1.0,0.2,0.33333333333333337,1.0,"[Timestamp('2021-11-19 00:00:00'), Timestamp('2021-12-17 00:00:00'), Timestamp('2023-03-12 00:00:00')]","[Timestamp('2021-11-16 00:00:00'), Timestamp('2021-12-14 00:00:00'), Timestamp('2023-03-11 00:00:00')]",0.99438646485
expanding,DAI,PC10,3,23,3,2.0,1.0,0.14285714285714285,0.25,1.0,"[Timestamp('2021-11-19 00:00:00'), Timestamp('2023-03-12 00:00:00')]","[Timestamp('2021-11-16 00:00:00'), Timestamp('2023-03-11 00:00:00')]",0.9926982529
expanding,DAI,PC3,2,23,2,3.0,1.0,0.09523809523809523,0.17391304347826084,1.0,[Timestamp('2021-11-19 00:00:00')],[Timestamp('2021-11-16 00:00:00')],1.00211305335
expanding,PAX,PC2,15,35,2,1.0,0.13333333333333333,0.05714285714285714,0.08,0.9929615592853276,"[Timestamp('2021-09-08 00:00:00'), Timestamp('2021-09-09 00:00:00')]","[Timestamp('2021-09-07 00:00:00'), Timestamp('2021-09-08 00:00:00')]",0.9972189470199999
expanding,PAX,PC7,15,35,2,1.5,0.13333333333333333,0.06060606060606061,0.08333333333333333,0.9929577464788732,"[Timestamp('2021-09-08 00:00:00'), Timestamp('2023-05-19 00:00:00')]","[Timestamp('2021-09-07 00:00:00'), Timestamp('2023-05-17 00:00:00')]",1.0001091233133332
expanding,PAX,PC10,20,35,2,4.0,0.1,0.05714285714285714,0.07272727272727272,0.9902386117136659,"[Timestamp('2023-05-19 00:00:00'), Timestamp('2023-06-22 00:00:00')]","[Timestamp('2023-05-14 00:00:00'), Timestamp('2023-06-19 00:00:00')]",0.9993801277400001
expanding,PAX,PC3,22,35,2,4.0,0.09090909090909091,0.05714285714285714,0.07017543859649122,0.9891774891774892,"[Timestamp('2022-11-29 00:00:00'), Timestamp('2023-12-16 00:00:00')]","[Timestamp('2022-11-23 00:00:00'), Timestamp('2023-12-14 00:00:00')]",1.0019192215181818
expanding,PAX,PC4,21,35,1,5.0,0.047619047619047616,0.02857142857142857,0.03571428571428571,0.989159891598916,[Timestamp('2023-05-19 00:00:00')],[Timestamp('2023-05-14 00:00:00')],0.9994941837523812
