variable,count,stablecoin
fear_greed_index,52,DAI
price_deviation_5d,41,DAI
market_cap_percent_change_7d,30,DAI
price_deviation_30d,30,DAI
circulating_supply_percent_change_7d,29,DAI
percent_change_24h,26,DAI
downward_price_deviation_30d,18,DAI
fed_funds_rate,18,DAI
circulating_supply_percent_change_30d,17,DAI
percent_change_30d,17,DAI
volume_percent_change_7d,9,DAI
peg_error,8,DAI
abs_peg_error,8,DAI
realized_daily_volatility,7,DAI
volume_percent_change_30d,7,DAI
downward_price_deviation_5d,6,DAI
circulating_supply_percent_change_24h,5,DAI
market_cap_percent_change_24h,5,DAI
volume_percent_change_24h,4,DAI
percent_change_7d,3,DAI
market_cap_percent_change_30d,2,DAI
percent_change_30d,5,PAX
peg_error,4,PAX
percent_change_7d,4,PAX
volume_percent_change_24h,3,PAX
volume_percent_change_30d,3,PAX
percent_change_24h,2,PAX
volume_percent_change_7d,2,PAX
circulating_supply_percent_change_24h,1,PAX
circulating_supply_percent_change_7d,1,PAX
fear_greed_index,1,PAX
fed_funds_rate,1,PAX
market_cap_percent_change_24h,1,PAX
market_cap_percent_change_7d,1,PAX
price_deviation_30d,1,PAX
peg_error,26,USDC
percent_change_30d,24,USDC
percent_change_7d,24,USDC
abs_peg_error,24,USDC
percent_change_24h,21,USDC
circulating_supply_percent_change_30d,17,USDC
price_deviation_30d,17,USDC
downward_price_deviation_5d,15,USDC
price_deviation_5d,15,USDC
realized_daily_volatility,15,USDC
market_cap_percent_change_24h,11,USDC
circulating_supply_percent_change_24h,11,USDC
volume_percent_change_24h,10,USDC
fear_greed_index,8,USDC
downward_price_deviation_30d,8,USDC
market_cap_percent_change_30d,7,USDC
market_cap_percent_change_7d,7,USDC
volume_percent_change_30d,7,USDC
volume_percent_change_7d,7,USDC
fed_funds_rate,2,USDC
fed_funds_rate,24,USDT
volume_percent_change_24h,21,USDT
volume_percent_change_7d,20,USDT
percent_change_24h,14,USDT
percent_change_30d,12,USDT
volume_percent_change_30d,11,USDT
realized_daily_volatility,11,USDT
price_deviation_5d,11,USDT
percent_change_7d,10,USDT
downward_price_deviation_30d,9,USDT
abs_peg_error,8,USDT
downward_price_deviation_5d,6,USDT
market_cap_percent_change_7d,5,USDT
fear_greed_index,5,USDT
market_cap_percent_change_30d,4,USDT
market_cap_percent_change_24h,4,USDT
circulating_supply_percent_change_7d,4,USDT
price_deviation_30d,3,USDT
peg_error,3,USDT
circulating_supply_percent_change_24h,1,USDT
percent_change_24h,7,UST
abs_peg_error,7,UST
downward_price_deviation_5d,6,UST
market_cap_percent_change_7d,5,UST
circulating_supply_percent_change_7d,5,UST
circulating_supply_percent_change_24h,4,UST
volume_percent_change_24h,4,UST
fear_greed_index,4,UST
percent_change_30d,4,UST
peg_error,4,UST
price_deviation_5d,3,UST
price_deviation_30d,3,UST
volume_percent_change_7d,3,UST
market_cap_percent_change_30d,2,UST
percent_change_7d,2,UST
fed_funds_rate,2,UST
downward_price_deviation_30d,2,UST
volume_percent_change_30d,2,UST
realized_daily_volatility,1,UST
circulating_supply_percent_change_30d,1,UST
Unnamed: 0,1,UST
