variable,count,stablecoin
fed_funds_rate,22,DAI
volume_percent_change_24h,21,DAI
realized_daily_volatility,17,DAI
volume_percent_change_30d,16,DAI
fear_greed_index,16,DAI
downward_price_deviation_30d,15,DAI
price_deviation_30d,15,DAI
circulating_supply_percent_change_30d,13,DAI
volume_percent_change_7d,12,DAI
market_cap_percent_change_30d,11,DAI
percent_change_30d,8,DAI
downward_price_deviation_5d,8,DAI
price_deviation_5d,8,DAI
abs_peg_error,7,DAI
peg_error,7,DAI
market_cap_percent_change_7d,7,DAI
percent_change_7d,5,DAI
market_cap_percent_change_24h,2,DAI
percent_change_24h,1,DAI
circulating_supply_percent_change_24h,1,DAI
circulating_supply_percent_change_7d,1,DAI
percent_change_24h,13,PAX
volume_percent_change_24h,12,PAX
abs_peg_error,11,PAX
volume_percent_change_30d,11,PAX
realized_daily_volatility,11,PAX
fear_greed_index,11,PAX
market_cap_percent_change_24h,10,PAX
volume_percent_change_7d,10,PAX
percent_change_7d,8,PAX
price_deviation_30d,8,PAX
market_cap_percent_change_7d,8,PAX
circulating_supply_percent_change_24h,7,PAX
peg_error,7,PAX
percent_change_30d,7,PAX
price_deviation_5d,7,PAX
fed_funds_rate,6,PAX
market_cap_percent_change_30d,6,PAX
downward_price_deviation_30d,4,PAX
circulating_supply_percent_change_30d,4,PAX
downward_price_deviation_5d,2,PAX
circulating_supply_percent_change_7d,2,PAX
percent_change_24h,25,USDC
volume_percent_change_24h,23,USDC
downward_price_deviation_5d,19,USDC
fed_funds_rate,19,USDC
abs_peg_error,16,USDC
realized_daily_volatility,16,USDC
volume_percent_change_30d,12,USDC
price_deviation_30d,11,USDC
percent_change_30d,11,USDC
volume_percent_change_7d,11,USDC
downward_price_deviation_30d,11,USDC
market_cap_percent_change_30d,10,USDC
percent_change_7d,10,USDC
fear_greed_index,10,USDC
circulating_supply_percent_change_30d,9,USDC
peg_error,7,USDC
price_deviation_5d,6,USDC
circulating_supply_percent_change_7d,6,USDC
market_cap_percent_change_7d,6,USDC
circulating_supply_percent_change_24h,4,USDC
market_cap_percent_change_24h,4,USDC
fed_funds_rate,18,USDT
percent_change_7d,18,USDT
downward_price_deviation_30d,17,USDT
volume_percent_change_7d,16,USDT
percent_change_24h,16,USDT
volume_percent_change_30d,16,USDT
percent_change_30d,16,USDT
realized_daily_volatility,15,USDT
price_deviation_5d,15,USDT
volume_percent_change_24h,14,USDT
market_cap_percent_change_7d,12,USDT
circulating_supply_percent_change_24h,11,USDT
circulating_supply_percent_change_7d,11,USDT
fear_greed_index,10,USDT
downward_price_deviation_5d,10,USDT
market_cap_percent_change_24h,9,USDT
price_deviation_30d,7,USDT
market_cap_percent_change_30d,6,USDT
circulating_supply_percent_change_30d,6,USDT
abs_peg_error,5,USDT
peg_error,4,USDT
volume_percent_change_7d,5,UST
market_cap_percent_change_24h,5,UST
circulating_supply_percent_change_30d,5,UST
abs_peg_error,5,UST
volume_percent_change_24h,4,UST
realized_daily_volatility,4,UST
percent_change_7d,4,UST
market_cap_percent_change_30d,4,UST
market_cap_percent_change_7d,4,UST
downward_price_deviation_5d,4,UST
downward_price_deviation_30d,4,UST
peg_error,3,UST
circulating_supply_percent_change_7d,3,UST
circulating_supply_percent_change_24h,3,UST
volume_percent_change_30d,3,UST
fear_greed_index,2,UST
percent_change_30d,2,UST
price_deviation_5d,2,UST
percent_change_24h,1,UST
price_deviation_30d,1,UST
Unnamed: 0,1,UST
