window,stablecoin,PC,num_hit_days,num_real_depeg_days,num_matched_days,avg_lead_time_matched,precision,recall,f1_score,specificity,matched_depeg_days,first_match_days,avg_close_price_hit_days
rolling_90d,DAI,PC6,24,23,22,3.111111111111111,0.9166666666666666,0.6666666666666666,0.7719298245614035,0.9988814317673378,"[Timestamp('2021-11-11 00:00:00'), Timestamp('2021-11-19 00:00:00'), Timestamp('2021-11-24 00:00:00'), Timestamp('2021-11-29 00:00:00'), Timestamp('2021-12-06 00:00:00'), Timestamp('2021-12-17 00:00:00'), Timestamp('2021-12-21 00:00:00'), Timestamp('2021-12-28 00:00:00'), Timestamp('2023-03-12 00:00:00')]","[Timestamp('2021-11-10 00:00:00'), Timestamp('2021-11-12 00:00:00'), Timestamp('2021-11-23 00:00:00'), Timestamp('2021-11-24 00:00:00'), Timestamp('2021-12-02 00:00:00'), Timestamp('2021-12-14 00:00:00'), Timestamp('2021-12-17 00:00:00'), Timestamp('2021-12-26 00:00:00'), Timestamp('2023-03-11 00:00:00')]",0.9987488608958334
rolling_90d,DAI,PC2,21,23,17,2.7,0.8095238095238095,0.6071428571428571,0.6938775510204083,0.9977740678909294,"[Timestamp('2021-11-11 00:00:00'), Timestamp('2021-11-19 00:00:00'), Timestamp('2021-11-20 00:00:00'), Timestamp('2021-11-23 00:00:00'), Timestamp('2021-11-24 00:00:00'), Timestamp('2021-12-06 00:00:00'), Timestamp('2021-12-17 00:00:00'), Timestamp('2021-12-23 00:00:00'), Timestamp('2021-12-28 00:00:00'), Timestamp('2023-03-12 00:00:00')]","[Timestamp('2021-11-10 00:00:00'), Timestamp('2021-11-16 00:00:00'), Timestamp('2021-11-19 00:00:00'), Timestamp('2021-11-20 00:00:00'), Timestamp('2021-11-23 00:00:00'), Timestamp('2021-11-29 00:00:00'), Timestamp('2021-12-14 00:00:00'), Timestamp('2021-12-21 00:00:00'), Timestamp('2021-12-23 00:00:00'), Timestamp('2023-03-11 00:00:00')]",1.0005060883476191
rolling_90d,DAI,PC3,14,23,12,3.5,0.8571428571428571,0.4444444444444444,0.5853658536585367,0.9988857938718663,"[Timestamp('2021-11-19 00:00:00'), Timestamp('2021-12-17 00:00:00'), Timestamp('2021-12-21 00:00:00'), Timestamp('2023-03-12 00:00:00')]","[Timestamp('2021-11-13 00:00:00'), Timestamp('2021-12-14 00:00:00'), Timestamp('2021-12-17 00:00:00'), Timestamp('2023-03-11 00:00:00')]",0.9979418028642858
rolling_90d,DAI,PC9,6,23,6,2.5,1.0,0.2608695652173913,0.41379310344827586,1.0,"[Timestamp('2021-11-19 00:00:00'), Timestamp('2021-11-23 00:00:00'), Timestamp('2021-11-29 00:00:00'), Timestamp('2023-03-12 00:00:00')]","[Timestamp('2021-11-16 00:00:00'), Timestamp('2021-11-22 00:00:00'), Timestamp('2021-11-24 00:00:00'), Timestamp('2023-03-11 00:00:00')]",0.9964546665333334
rolling_90d,DAI,PC4,5,23,4,2.3333333333333335,0.8,0.2,0.32000000000000006,0.9994447529150472,"[Timestamp('2021-11-19 00:00:00'), Timestamp('2021-12-17 00:00:00'), Timestamp('2023-03-12 00:00:00')]","[Timestamp('2021-11-16 00:00:00'), Timestamp('2021-12-14 00:00:00'), Timestamp('2023-03-11 00:00:00')]",0.99402609016
rolling_90d,DAI,PC5,3,23,3,2.0,1.0,0.14285714285714285,0.25,1.0,"[Timestamp('2021-11-19 00:00:00'), Timestamp('2023-03-12 00:00:00')]","[Timestamp('2021-11-16 00:00:00'), Timestamp('2023-03-11 00:00:00')]",0.9926982529
rolling_90d,DAI,PC10,3,23,3,2.0,1.0,0.14285714285714285,0.25,1.0,"[Timestamp('2021-11-19 00:00:00'), Timestamp('2023-03-12 00:00:00')]","[Timestamp('2021-11-16 00:00:00'), Timestamp('2023-03-11 00:00:00')]",0.9926982529
rolling_90d,DAI,PC8,4,23,3,2.0,0.75,0.14285714285714285,0.24,0.9994450610432852,"[Timestamp('2021-11-19 00:00:00'), Timestamp('2023-03-12 00:00:00')]","[Timestamp('2021-11-16 00:00:00'), Timestamp('2023-03-11 00:00:00')]",0.9958621007999999
rolling_90d,DAI,PC1,9,23,3,2.0,0.3333333333333333,0.14285714285714285,0.2,0.9966722129783694,"[Timestamp('2021-11-19 00:00:00'), Timestamp('2023-03-12 00:00:00')]","[Timestamp('2021-11-16 00:00:00'), Timestamp('2023-03-11 00:00:00')]",0.9976015434111112
rolling_90d,DAI,PC7,2,23,2,3.0,1.0,0.09523809523809523,0.17391304347826084,1.0,[Timestamp('2021-11-19 00:00:00')],[Timestamp('2021-11-16 00:00:00')],1.00211305335
