coin,TP,FP,TN,FN,precision,recall,f1,specificity,avg_lead_days,fa_per_month,n_test_days,event_hit_rate,detected_events,missed_events,avg_event_lead,median_event_lead,spec,signal_rule
UST,21,137,197,21,0.1329,0.5,0.21,0.5898,3.81,11.09,376,0.8333333333333334,5,1,5.8,7.0,handpicked,or
USDC,13,839,63,0,0.0153,1.0,0.0301,0.0698,3.77,27.91,915,1.0,2,0,7.0,7.0,handpicked,or
DAI,7,884,24,0,0.0079,1.0,0.0156,0.0264,4.0,29.41,915,1.0,1,0,7.0,7.0,handpicked,or
USDT,28,849,38,0,0.0319,1.0,0.0619,0.0428,4.0,28.24,915,1.0,4,0,7.0,7.0,handpicked,or
USDP,8,64,381,71,0.1111,0.1013,0.106,0.8562,3.88,3.72,524,0.6,9,6,5.777777777777778,7.0,handpicked,or
UST,5,10,177,30,0.3333,0.1429,0.2,0.9465,2.6,1.37,222,0.4,2,3,3.5,3.5,top5,or
USDC,14,1010,123,40,0.0137,0.2593,0.026,0.1086,3.71,25.9,1187,0.3,3,7,5.666666666666667,7.0,top5,or
DAI,41,1053,86,7,0.0375,0.8542,0.0718,0.0755,3.29,27.0,1187,0.9,9,1,7.0,7.0,top5,or
USDT,35,987,165,0,0.0342,1.0,0.0662,0.1432,4.0,25.31,1187,1.0,5,0,7.0,7.0,top5,or
USDP,146,892,149,0,0.1407,1.0,0.2466,0.1431,3.69,22.87,1187,1.0,27,0,7.0,7.0,top5,or
UST,18,80,107,17,0.1837,0.5143,0.2707,0.5722,3.78,10.97,222,0.8,4,1,5.25,6.0,benchmark,peg
UST,2,5,182,33,0.2857,0.0571,0.0952,0.9733,5.0,0.69,222,0.4,2,3,5.0,5.0,benchmark,vol
USDC,0,3,1130,54,0.0,0.0,,0.9974,,0.08,1187,0.0,0,10,,,benchmark,peg
USDC,0,4,1129,54,0.0,0.0,,0.9965,,0.1,1187,0.0,0,10,,,benchmark,vol
DAI,10,20,1119,38,0.3333,0.2083,0.2564,0.9824,2.9,0.51,1187,0.8,8,2,5.875,6.0,benchmark,peg
DAI,2,3,1136,46,0.4,0.0417,0.0755,0.9974,2.5,0.08,1187,0.2,2,8,5.0,5.0,benchmark,vol
USDT,0,16,1136,35,0.0,0.0,,0.9861,,0.41,1187,0.0,0,5,,,benchmark,peg
USDT,0,3,1149,35,0.0,0.0,,0.9974,,0.08,1187,0.0,0,5,,,benchmark,vol
USDP,84,282,759,62,0.2295,0.5753,0.3281,0.7291,3.44,7.23,1187,0.8888888888888888,24,3,6.541666666666667,7.0,benchmark,peg
USDP,0,14,1027,146,0.0,0.0,,0.9866,,0.36,1187,0.0,0,27,,,benchmark,vol
