coin,pc,precision,recall,f1,specificity,avg_lead_days,fa_per_month,TP,FP,TN,FN
UST,PC1,0.6667,0.0952,0.1667,0.994,2.5,0.16,4,2,332,38
UST,PC3,0.5714,0.0952,0.1633,0.991,2.5,0.24,4,3,331,38
UST,PC10,0.6,0.0714,0.1277,0.994,2.0,0.16,3,2,332,39
USDC,PC2,0.3333,0.1538,0.2105,0.9956,3.5,0.13,2,4,898,11
USDC,PC3,0.0144,0.9231,0.0283,0.0865,4.0,27.41,12,824,78,1
USDC,PC10,0.0148,0.9231,0.0292,0.1153,3.75,26.55,12,798,104,1
DAI,PC1,0.0,0.0,,0.9901,,0.3,0,9,899,7
DAI,PC3,0.0,0.0,,0.9868,,0.4,0,12,896,7
DAI,PC8,0.0082,1.0,0.0162,0.0661,4.0,28.21,7,848,60,0
USDT,PC3,0.0437,0.25,0.0745,0.8275,2.86,5.09,7,153,734,21
USDT,PC4,0.1667,0.1429,0.1538,0.9775,3.0,0.67,4,20,867,24
USDT,PC7,0.1667,0.1071,0.1304,0.9831,3.33,0.5,3,15,872,25
USDP,PC1,0.1364,0.038,0.0594,0.9573,2.67,1.1,3,19,426,76
USDP,PC2,0.0,0.0,,0.9933,,0.17,0,3,442,79
USDP,PC3,0.2222,0.0253,0.0455,0.9843,2.0,0.41,2,7,438,77
