coin,threshold,window,precision,recall,f1,specificity,avg_lead_days,fa_per_month,TP,FP,TN,FN
DAI,3.0,10,0.0117,1.0,0.0231,0.0652,5.5,28.14,10,846,59,0
DAI,2.5,10,0.0113,1.0,0.0224,0.0354,5.5,29.04,10,873,32,0
DAI,2.0,10,0.0112,1.0,0.0221,0.0232,5.5,29.41,10,884,21,0
DAI,1.5,10,0.011,1.0,0.0218,0.0077,5.5,29.87,10,898,7,0
DAI,3.0,7,0.0082,1.0,0.0162,0.065,4.0,28.24,7,849,59,0
DAI,2.5,7,0.0079,1.0,0.0157,0.0352,4.0,29.14,7,876,32,0
DAI,2.0,7,0.0078,1.0,0.0155,0.0231,4.0,29.51,7,887,21,0
DAI,1.5,7,0.0077,1.0,0.0153,0.0077,4.0,29.97,7,901,7,0
DAI,3.0,5,0.0058,1.0,0.0116,0.0648,3.0,28.31,5,851,59,0
DAI,2.5,5,0.0057,1.0,0.0113,0.0352,3.0,29.21,5,878,32,0
DAI,2.0,5,0.0056,1.0,0.0111,0.0231,3.0,29.58,5,889,21,0
DAI,1.5,5,0.0055,1.0,0.011,0.0077,3.0,30.04,5,903,7,0
USDC,3.0,10,0.0188,1.0,0.037,0.0723,4.75,27.75,16,834,65,0
USDC,2.5,10,0.0182,1.0,0.0357,0.0389,4.75,28.74,16,864,35,0
USDC,2.0,10,0.0176,1.0,0.0347,0.0089,4.75,29.64,16,891,8,0
USDC,1.5,10,0.0175,1.0,0.0344,0.0,4.75,29.91,16,899,0,0
USDC,3.0,7,0.0153,1.0,0.0301,0.0721,3.77,27.85,13,837,65,0
USDC,2.5,7,0.0148,1.0,0.0291,0.0388,3.77,28.84,13,867,35,0
USDC,2.0,7,0.0143,1.0,0.0283,0.0089,3.77,29.74,13,894,8,0
USDC,1.5,7,0.0142,1.0,0.028,0.0,3.77,30.01,13,902,0,0
USDC,3.0,5,0.0118,1.0,0.0233,0.0718,3.0,27.94,10,840,65,0
USDC,2.5,5,0.0114,1.0,0.0225,0.0387,3.0,28.94,10,870,35,0
USDC,2.0,5,0.011,1.0,0.0218,0.0088,3.0,29.84,10,897,8,0
USDC,1.5,5,0.0109,1.0,0.0216,0.0,3.0,30.11,10,905,0,0
USDP,1.5,10,0.4214,0.6321,0.5057,0.7799,4.64,5.34,67,92,326,39
USDP,2.0,10,0.3964,0.4151,0.4055,0.8397,4.59,3.89,44,67,351,62
USDP,1.5,7,0.327,0.6582,0.437,0.7596,3.4,6.22,52,107,338,27
USDP,2.5,10,0.3103,0.1698,0.2195,0.9043,5.89,2.32,18,40,378,88
USDP,2.0,7,0.3063,0.4304,0.3579,0.827,3.26,4.47,34,77,368,45
USDP,3.0,10,0.2941,0.0943,0.1429,0.9426,5.8,1.39,10,24,394,96
USDP,1.5,5,0.2579,0.6833,0.3744,0.7457,2.61,6.85,41,118,346,19
USDP,2.0,5,0.2342,0.4333,0.3041,0.8168,2.31,4.94,26,85,379,34
USDP,2.5,7,0.1724,0.1266,0.146,0.8921,3.3,2.79,10,48,397,69
USDP,2.5,5,0.1552,0.15,0.1525,0.8944,2.89,2.85,9,49,415,51
USDP,3.0,5,0.1471,0.0833,0.1064,0.9375,2.4,1.68,5,29,435,55
USDP,3.0,7,0.1471,0.0633,0.0885,0.9348,2.4,1.68,5,29,416,74
USDT,3.0,10,0.0723,0.3,0.1165,0.824,5.5,5.12,12,154,721,28
USDT,2.5,10,0.0583,0.5,0.1044,0.6309,5.2,10.75,20,323,552,20
USDT,2.0,10,0.0422,0.6,0.0788,0.3771,5.25,18.13,24,545,330,16
USDT,3.0,5,0.0422,0.35,0.0753,0.8223,2.86,5.29,7,159,736,13
USDT,3.0,7,0.0422,0.25,0.0722,0.8207,2.86,5.29,7,159,728,21
USDT,2.5,7,0.0408,0.5,0.0755,0.6291,3.57,10.95,14,329,558,14
USDT,1.5,10,0.0397,0.75,0.0754,0.1703,5.2,24.15,30,726,149,10
USDT,2.0,7,0.0299,0.6071,0.057,0.3777,3.65,18.36,17,552,335,11
USDT,2.5,5,0.0292,0.5,0.0551,0.6279,2.4,11.08,10,333,562,10
USDT,1.5,7,0.0291,0.7857,0.0561,0.1725,3.77,24.42,22,734,153,6
USDT,2.0,5,0.0228,0.65,0.0441,0.3788,2.77,18.5,13,556,339,7
USDT,1.5,5,0.0212,0.8,0.0412,0.1732,2.81,24.62,16,740,155,4
UST,3.0,5,0.6364,0.2333,0.3415,0.9884,2.29,0.32,7,4,342,23
UST,3.0,7,0.6364,0.1667,0.2642,0.988,2.29,0.32,7,4,330,35
UST,3.0,10,0.6364,0.1167,0.1972,0.9873,2.29,0.32,7,4,312,53
UST,2.5,10,0.2364,0.2167,0.2261,0.8671,4.69,3.4,13,42,274,47
UST,2.0,10,0.2037,0.3667,0.2619,0.7278,5.14,6.96,22,86,230,38
UST,2.5,7,0.1818,0.2381,0.2062,0.8653,3.4,3.64,10,45,289,32
UST,1.5,10,0.1647,0.6833,0.2654,0.3418,5.54,16.84,41,208,108,19
UST,2.0,7,0.1481,0.381,0.2133,0.7246,3.69,7.45,16,92,242,26
UST,2.5,5,0.1455,0.2667,0.1882,0.8642,2.62,3.81,8,47,299,22
UST,2.0,5,0.1111,0.4,0.1739,0.7225,2.75,7.77,12,96,250,18
UST,1.5,7,0.1084,0.6429,0.1856,0.3353,3.78,17.97,27,222,112,15
UST,1.5,5,0.0843,0.7,0.1505,0.341,3.0,18.46,21,228,118,9
