coin,threshold,window,precision,recall,f1,specificity,avg_lead_days,fa_per_month,TP,FP,TN,FN
DAI,1.5,10,0.0429,1.0,0.0822,0.0446,4.02,27.89,47,1049,49,0
DAI,2.0,10,0.041,0.9362,0.0786,0.0628,4.2,27.36,44,1029,69,3
DAI,2.5,10,0.0394,0.8936,0.0754,0.0665,4.24,27.25,42,1025,73,5
DAI,1.5,7,0.0374,1.0,0.0721,0.0444,3.29,28.05,41,1055,49,0
DAI,2.0,7,0.0354,0.9268,0.0682,0.0625,3.45,27.52,38,1035,69,3
DAI,3.0,10,0.035,0.7872,0.067,0.0701,4.27,27.14,37,1021,77,10
DAI,2.5,7,0.0337,0.878,0.065,0.0661,3.44,27.41,36,1031,73,5
DAI,1.5,5,0.031,1.0,0.0602,0.0441,2.65,28.23,34,1062,49,0
DAI,3.0,7,0.0293,0.7561,0.0564,0.0697,3.35,27.3,31,1027,77,10
DAI,2.0,5,0.0289,0.9118,0.056,0.0621,2.77,27.7,31,1042,69,3
DAI,2.5,5,0.0272,0.8529,0.0527,0.0657,2.72,27.6,29,1038,73,5
DAI,3.0,5,0.0236,0.7353,0.0458,0.0702,2.6,27.46,25,1033,78,9
USDC,1.5,10,0.0299,0.4286,0.0559,0.123,4.73,25.11,33,1070,150,44
USDC,2.0,10,0.0252,0.3506,0.0471,0.1451,4.78,24.48,27,1043,177,50
USDC,1.5,7,0.0236,0.4,0.0445,0.1258,3.54,25.28,26,1077,155,39
USDC,2.5,10,0.0202,0.2727,0.0375,0.1631,5.05,23.96,21,1021,199,56
USDC,1.5,5,0.0199,0.4,0.038,0.1296,3.0,25.37,22,1081,161,33
USDC,2.0,7,0.0196,0.3231,0.037,0.1485,3.48,24.62,21,1049,183,44
USDC,3.0,10,0.0184,0.2468,0.0343,0.1713,5.26,23.73,19,1011,209,58
USDC,2.0,5,0.0168,0.3273,0.032,0.153,3.0,24.69,18,1052,190,37
USDC,2.5,7,0.0154,0.2462,0.0289,0.1672,3.75,24.08,16,1026,206,49
USDC,3.0,7,0.0136,0.2154,0.0256,0.1753,3.86,23.85,14,1016,216,51
USDC,2.5,5,0.0125,0.2364,0.0237,0.1715,3.15,24.15,13,1029,213,42
USDC,3.0,5,0.0107,0.2,0.0203,0.1795,3.18,23.92,11,1019,223,44
USDP,1.5,10,0.4214,0.6321,0.5057,0.7799,4.64,5.34,67,92,326,39
USDP,2.0,10,0.3964,0.4151,0.4055,0.8397,4.59,3.89,44,67,351,62
USDP,1.5,7,0.327,0.6582,0.437,0.7596,3.4,6.22,52,107,338,27
USDP,2.5,10,0.3103,0.1698,0.2195,0.9043,5.89,2.32,18,40,378,88
USDP,2.0,7,0.3063,0.4304,0.3579,0.827,3.26,4.47,34,77,368,45
USDP,3.0,10,0.2941,0.0943,0.1429,0.9426,5.8,1.39,10,24,394,96
USDP,1.5,5,0.2579,0.6833,0.3744,0.7457,2.61,6.85,41,118,346,19
USDP,2.0,5,0.2342,0.4333,0.3041,0.8168,2.31,4.94,26,85,379,34
USDP,2.5,7,0.1724,0.1266,0.146,0.8921,3.3,2.79,10,48,397,69
USDP,2.5,5,0.1552,0.15,0.1525,0.8944,2.89,2.85,9,49,415,51
USDP,3.0,5,0.1471,0.0833,0.1064,0.9375,2.4,1.68,5,29,435,55
USDP,3.0,7,0.1471,0.0633,0.0885,0.9348,2.4,1.68,5,29,416,74
USDT,3.0,10,0.1263,0.4,0.192,0.8895,5.33,3.23,12,83,668,18
USDT,2.5,10,0.0796,0.6,0.1406,0.723,5.33,8.11,18,208,543,12
USDT,3.0,7,0.0737,0.3333,0.1207,0.8842,2.86,3.43,7,88,672,14
USDT,3.0,5,0.0632,0.4,0.1091,0.8838,2.33,3.47,6,89,677,9
USDT,2.5,7,0.0531,0.5714,0.0972,0.7184,3.5,8.34,12,214,546,9
USDT,2.5,5,0.0442,0.6667,0.083,0.718,3.0,8.42,10,216,550,5
USDT,1.5,10,0.0427,1.0,0.082,0.1052,5.5,26.19,30,672,79,0
USDT,2.0,10,0.0403,0.6333,0.0757,0.3968,5.42,17.66,19,453,298,11
USDT,1.5,7,0.0299,1.0,0.0581,0.1039,4.0,26.54,21,681,79,0
USDT,2.0,7,0.0275,0.619,0.0527,0.3961,3.77,17.89,13,459,301,8
USDT,1.5,5,0.0214,1.0,0.0418,0.1031,3.0,26.78,15,687,79,0
USDT,2.0,5,0.0212,0.6667,0.0411,0.3969,3.0,18.01,10,462,304,5
UST,3.0,10,0.2024,0.6944,0.3135,0.4896,5.5,13.09,50,197,189,22
UST,2.5,10,0.1755,0.7778,0.2864,0.3187,5.39,17.48,56,263,123,16
UST,2.0,10,0.1562,0.8333,0.2632,0.1606,5.5,21.53,60,324,62,12
UST,1.5,10,0.154,0.9028,0.2632,0.0751,5.35,23.73,65,357,29,7
UST,3.0,7,0.1417,0.6863,0.2349,0.4791,4.0,14.09,35,212,195,16
UST,2.5,7,0.1285,0.8039,0.2216,0.317,4.07,18.48,41,278,129,10
UST,2.0,7,0.1094,0.8235,0.1931,0.1597,4.0,22.73,42,342,65,9
UST,1.5,7,0.109,0.902,0.1945,0.0762,3.87,24.99,46,376,31,5
UST,3.0,5,0.1012,0.6757,0.1761,0.4727,3.0,14.75,25,222,199,12
UST,2.5,5,0.0909,0.7838,0.1629,0.3112,3.07,19.27,29,290,131,8
UST,1.5,5,0.0806,0.9189,0.1481,0.0784,2.94,25.79,34,388,33,3
UST,2.0,5,0.0781,0.8108,0.1425,0.1591,3.0,23.53,30,354,67,7
