coin,pc,precision,recall,f1,specificity,avg_lead_days,fa_per_month,TP,FP,TN,FN
UST,PC10,0.75,0.1714,0.2791,0.9908,2.5,0.24,6,2,215,29
UST,PC6,0.6667,0.1143,0.1951,0.9908,2.5,0.24,4,2,215,31
UST,PC4,0.5714,0.1143,0.1905,0.9862,2.5,0.36,4,3,214,31
USDC,PC9,0.0156,0.2407,0.0292,0.2923,3.92,20.59,13,823,340,41
USDC,PC6,0.0143,0.2593,0.0272,0.172,3.86,24.09,14,963,200,40
USDC,PC3,0.0139,0.2407,0.0263,0.2081,3.77,23.04,13,921,242,41
DAI,PC5,0.0388,0.8333,0.0741,0.1514,3.32,24.81,40,992,177,8
DAI,PC4,0.037,0.8333,0.0709,0.1104,3.3,26.01,40,1040,129,8
DAI,PC10,0.0335,0.75,0.0641,0.1112,3.33,25.99,36,1039,130,12
USDT,PC5,0.0361,0.9714,0.0697,0.2327,3.91,22.69,34,907,275,1
USDT,PC1,0.035,0.9714,0.0676,0.2073,3.91,23.44,34,937,245,1
USDT,PC8,0.035,0.9714,0.0675,0.2064,3.91,23.46,34,938,244,1
USDP,PC5,0.1625,0.8158,0.271,0.4,3.63,15.98,124,639,426,28
USDP,PC3,0.1567,0.9605,0.2694,0.262,3.69,19.66,146,786,279,6
USDP,PC1,0.1504,0.9605,0.26,0.2254,3.69,20.64,146,825,240,6
