coin,threshold,window,precision,recall,f1,specificity,avg_lead_days,fa_per_month,TP,FP,TN,FN
DAI,1.5,10,0.0477,0.9825,0.091,0.0362,4.18,27.96,56,1118,42,1
DAI,3.0,10,0.0425,0.8246,0.0809,0.0879,4.02,26.46,47,1058,102,10
DAI,2.0,10,0.0421,0.8421,0.0801,0.0578,3.98,27.34,48,1093,67,9
DAI,2.5,10,0.0421,0.8246,0.0801,0.0776,4.02,26.76,47,1070,90,10
DAI,1.5,7,0.0409,1.0,0.0786,0.0368,3.4,28.16,48,1126,43,0
DAI,3.0,7,0.0371,0.8542,0.0711,0.0898,3.29,26.61,41,1064,105,7
DAI,2.0,7,0.0368,0.875,0.0706,0.0599,3.26,27.49,42,1099,70,6
DAI,2.5,7,0.0367,0.8542,0.0704,0.0796,3.29,26.91,41,1076,93,7
DAI,1.5,5,0.0332,1.0,0.0643,0.0365,2.69,28.39,39,1135,43,0
DAI,3.0,5,0.0308,0.8718,0.0594,0.0908,2.65,26.79,34,1071,107,5
DAI,2.0,5,0.0307,0.8974,0.0593,0.0611,2.63,27.66,35,1106,72,4
DAI,2.5,5,0.0304,0.8718,0.0588,0.0806,2.65,27.09,34,1083,95,5
USDC,1.5,10,0.0333,0.5606,0.0628,0.066,4.59,26.89,37,1075,76,29
USDC,2.0,10,0.0297,0.4848,0.056,0.0921,4.5,26.14,32,1045,106,34
USDC,1.5,7,0.027,0.5556,0.0515,0.0696,3.53,27.06,30,1082,81,24
USDC,2.0,7,0.0241,0.4815,0.046,0.0963,3.38,26.29,26,1051,112,28
USDC,2.5,10,0.023,0.3636,0.0433,0.1147,4.54,25.49,24,1019,132,42
USDC,1.5,5,0.0225,0.5556,0.0432,0.0725,3.0,27.19,25,1087,85,20
USDC,2.0,5,0.0214,0.5111,0.041,0.1007,3.0,26.36,23,1054,118,22
USDC,3.0,10,0.0194,0.303,0.0364,0.1199,4.9,25.34,20,1013,138,46
USDC,2.5,7,0.0192,0.3704,0.0365,0.1204,3.6,25.59,20,1023,140,34
USDC,2.5,5,0.0163,0.3778,0.0312,0.1246,3.12,25.66,17,1026,146,28
USDC,3.0,7,0.0155,0.2963,0.0294,0.1255,3.81,25.44,16,1017,146,38
USDC,3.0,5,0.0126,0.2889,0.0241,0.1297,3.23,25.51,13,1020,152,32
USDP,3.0,10,0.1817,0.9704,0.3061,0.1252,5.07,22.19,197,887,127,6
USDP,2.5,10,0.1788,0.9704,0.3019,0.1075,5.07,22.64,197,905,109,6
USDP,2.0,10,0.1756,0.9704,0.2974,0.0878,5.07,23.14,197,925,89,6
USDP,1.5,10,0.1698,0.9704,0.2891,0.0503,5.07,24.09,197,963,51,6
USDP,3.0,7,0.1347,0.9605,0.2362,0.1192,3.69,23.46,146,938,127,6
USDP,2.5,7,0.1325,0.9605,0.2329,0.1023,3.69,23.91,146,956,109,6
USDP,2.0,7,0.1301,0.9605,0.2292,0.0836,3.69,24.41,146,976,89,6
USDP,1.5,7,0.1259,0.9605,0.2226,0.0479,3.69,25.36,146,1014,51,6
USDP,3.0,5,0.1024,0.9569,0.185,0.1163,2.81,24.34,111,973,128,5
USDP,2.5,5,0.1007,0.9569,0.1823,0.0999,2.81,24.79,111,991,110,5
USDP,2.0,5,0.0989,0.9569,0.1793,0.0817,2.81,25.29,111,1011,90,5
USDP,1.5,5,0.0957,0.9569,0.174,0.0472,2.81,26.24,111,1049,52,5
USDT,3.0,10,0.0488,1.0,0.0931,0.1654,5.5,24.36,50,974,193,0
USDT,2.5,10,0.0486,1.0,0.0928,0.162,5.5,24.46,50,978,189,0
USDT,2.0,10,0.0485,1.0,0.0925,0.1594,5.5,24.54,50,981,186,0
USDT,1.5,10,0.0477,1.0,0.091,0.144,5.5,24.99,50,999,168,0
USDT,3.0,7,0.0342,1.0,0.0661,0.1633,4.0,24.74,35,989,193,0
USDT,2.5,7,0.034,1.0,0.0659,0.1599,4.0,24.84,35,993,189,0
USDT,2.0,7,0.0339,1.0,0.0657,0.1574,4.0,24.91,35,996,186,0
USDT,1.5,7,0.0334,1.0,0.0646,0.1421,4.0,25.36,35,1014,168,0
USDT,3.0,5,0.0244,1.0,0.0477,0.1619,3.0,24.99,25,999,193,0
USDT,2.5,5,0.0243,1.0,0.0475,0.1586,3.0,25.09,25,1003,189,0
USDT,2.0,5,0.0242,1.0,0.0473,0.156,3.0,25.16,25,1006,186,0
USDT,1.5,5,0.0238,1.0,0.0466,0.1409,3.0,25.61,25,1024,168,0
UST,1.5,10,0.2,0.38,0.2621,0.6238,5.32,9.18,19,76,126,31
UST,2.0,10,0.1899,0.3,0.2326,0.6832,5.33,7.73,15,64,138,35
UST,3.0,10,0.1875,0.24,0.2105,0.7426,5.0,6.28,12,52,150,38
UST,2.5,10,0.1867,0.28,0.224,0.698,5.07,7.37,14,61,141,36
UST,3.0,7,0.1406,0.2571,0.1818,0.7465,3.67,6.64,9,55,162,26
UST,1.5,7,0.1368,0.3714,0.2,0.6221,3.62,9.91,13,82,135,22
UST,2.5,7,0.1333,0.2857,0.1818,0.7005,3.4,7.85,10,65,152,25
UST,2.0,7,0.1266,0.2857,0.1754,0.682,3.4,8.33,10,69,148,25
UST,3.0,5,0.1094,0.28,0.1573,0.7489,2.86,6.89,7,57,170,18
UST,2.5,5,0.1067,0.32,0.16,0.7048,2.62,8.09,8,67,160,17
UST,1.5,5,0.1053,0.4,0.1667,0.6256,2.8,10.27,10,85,142,15
UST,2.0,5,0.1013,0.32,0.1538,0.6872,2.62,8.58,8,71,156,17
