variable,count,stablecoin
volume_percent_change_24h,48,DAI
fed_funds_rate,48,DAI
price_deviation_30d,46,DAI
volume_percent_change_7d,40,DAI
downward_price_deviation_30d,40,DAI
volume_percent_change_30d,37,DAI
circulating_supply_percent_change_30d,27,DAI
market_cap_percent_change_30d,26,DAI
market_cap_percent_change_7d,23,DAI
downward_price_deviation_5d,22,DAI
price_deviation_5d,19,DAI
abs_peg_error,19,DAI
peg_error,18,DAI
realized_daily_volatility,16,DAI
percent_change_24h,14,DAI
percent_change_30d,14,DAI
percent_change_7d,12,DAI
fear_greed_index,12,DAI
circulating_supply_percent_change_7d,10,DAI
market_cap_percent_change_24h,8,DAI
circulating_supply_percent_change_24h,8,DAI
percent_change_24h,18,PAX
abs_peg_error,15,PAX
volume_percent_change_24h,13,PAX
percent_change_7d,12,PAX
market_cap_percent_change_24h,9,PAX
price_deviation_5d,9,PAX
market_cap_percent_change_30d,9,PAX
peg_error,8,PAX
market_cap_percent_change_7d,8,PAX
downward_price_deviation_30d,8,PAX
volume_percent_change_7d,8,PAX
percent_change_30d,7,PAX
realized_daily_volatility,7,PAX
fed_funds_rate,6,PAX
circulating_supply_percent_change_7d,6,PAX
volume_percent_change_30d,5,PAX
circulating_supply_percent_change_24h,4,PAX
fear_greed_index,4,PAX
circulating_supply_percent_change_30d,3,PAX
price_deviation_30d,2,PAX
downward_price_deviation_5d,1,PAX
volume_percent_change_24h,35,USDC
fear_greed_index,26,USDC
abs_peg_error,22,USDC
volume_percent_change_7d,21,USDC
price_deviation_30d,18,USDC
fed_funds_rate,17,USDC
downward_price_deviation_5d,16,USDC
percent_change_24h,13,USDC
volume_percent_change_30d,13,USDC
downward_price_deviation_30d,12,USDC
peg_error,10,USDC
percent_change_7d,9,USDC
realized_daily_volatility,9,USDC
market_cap_percent_change_30d,8,USDC
percent_change_30d,8,USDC
market_cap_percent_change_7d,8,USDC
circulating_supply_percent_change_24h,6,USDC
circulating_supply_percent_change_7d,5,USDC
market_cap_percent_change_24h,3,USDC
circulating_supply_percent_change_30d,3,USDC
price_deviation_5d,2,USDC
volume_percent_change_7d,12,USDT
market_cap_percent_change_30d,10,USDT
circulating_supply_percent_change_30d,10,USDT
volume_percent_change_24h,10,USDT
realized_daily_volatility,10,USDT
downward_price_deviation_5d,10,USDT
peg_error,10,USDT
price_deviation_30d,9,USDT
abs_peg_error,9,USDT
downward_price_deviation_30d,8,USDT
fed_funds_rate,5,USDT
percent_change_24h,4,USDT
fear_greed_index,4,USDT
circulating_supply_percent_change_24h,3,USDT
percent_change_30d,3,USDT
percent_change_7d,3,USDT
market_cap_percent_change_7d,3,USDT
market_cap_percent_change_24h,2,USDT
volume_percent_change_30d,2,USDT
price_deviation_5d,1,USDT
circulating_supply_percent_change_7d,1,USDT
volume_percent_change_7d,4,UST
downward_price_deviation_5d,3,UST
volume_percent_change_24h,3,UST
percent_change_24h,3,UST
abs_peg_error,3,UST
fear_greed_index,2,UST
fed_funds_rate,2,UST
market_cap_percent_change_24h,2,UST
market_cap_percent_change_7d,2,UST
percent_change_7d,2,UST
price_deviation_5d,2,UST
realized_daily_volatility,2,UST
volume_percent_change_30d,2,UST
downward_price_deviation_30d,1,UST
circulating_supply_percent_change_24h,1,UST
circulating_supply_percent_change_7d,1,UST
percent_change_30d,1,UST
price_deviation_30d,1,UST
circulating_supply_percent_change_30d,1,UST
peg_error,1,UST
