coin,pc,precision,recall,f1,specificity,avg_lead_days,fa_per_month,TP,FP,TN,FN
UST,PC10,0.8333,0.1429,0.2439,0.9946,2.6,0.14,5,1,185,30
UST,PC6,0.8,0.1143,0.2,0.9946,2.5,0.14,4,1,185,31
UST,PC4,0.6667,0.1143,0.1951,0.9892,2.5,0.28,4,2,184,31
USDC,PC9,0.0148,0.2593,0.0281,0.1801,3.79,23.82,14,929,204,40
USDC,PC6,0.0147,0.2593,0.0278,0.1712,3.86,24.08,14,939,194,40
USDC,PC3,0.0138,0.2407,0.0261,0.1809,3.77,23.8,13,928,205,41
DAI,PC5,0.041,0.8333,0.0782,0.1791,3.32,23.98,40,935,204,8
DAI,PC4,0.0376,0.8542,0.072,0.0781,3.29,26.93,41,1050,89,7
DAI,PC10,0.0326,0.7292,0.0623,0.0869,3.31,26.67,35,1040,99,13
USDT,PC5,0.0371,0.9714,0.0715,0.2344,3.91,22.62,34,882,270,1
USDT,PC1,0.035,0.9714,0.0676,0.1866,3.91,24.03,34,937,215,1
USDT,PC8,0.035,0.9714,0.0675,0.1858,3.91,24.05,34,938,214,1
USDP,PC5,0.1479,1.0,0.2577,0.1921,3.69,21.57,146,841,200,0
USDP,PC3,0.151,1.0,0.2624,0.2113,3.69,21.05,146,821,220,0
USDP,PC1,0.1504,1.0,0.2614,0.2075,3.69,21.16,146,825,216,0
