coin,threshold,window,precision,recall,f1,specificity,avg_lead_days,fa_per_month,TP,FP,TN,FN
DAI,1.5,10,0.0436,0.8772,0.0831,0.0292,4.04,28.13,50,1097,33,7
DAI,3.0,10,0.0426,0.8246,0.081,0.0646,4.02,27.11,47,1057,73,10
DAI,2.0,10,0.0425,0.8421,0.0809,0.0425,3.98,27.75,48,1082,48,9
DAI,2.5,10,0.0423,0.8246,0.0805,0.0593,4.02,27.26,47,1063,67,10
DAI,1.5,7,0.0375,0.8958,0.072,0.0307,3.26,28.31,43,1104,35,5
DAI,2.0,7,0.0372,0.875,0.0713,0.0448,3.26,27.9,42,1088,51,6
DAI,3.0,7,0.0371,0.8542,0.0712,0.0667,3.29,27.26,41,1063,76,7
DAI,2.5,7,0.0369,0.8542,0.0708,0.0615,3.29,27.41,41,1069,70,7
DAI,1.5,5,0.0314,0.9231,0.0607,0.0322,2.64,28.49,36,1111,37,3
DAI,2.0,5,0.031,0.8974,0.0599,0.0462,2.63,28.08,35,1095,53,4
DAI,3.0,5,0.0308,0.8718,0.0595,0.0679,2.65,27.44,34,1070,78,5
DAI,2.5,5,0.0306,0.8718,0.0592,0.0627,2.65,27.59,34,1076,72,5
USDC,1.5,10,0.035,0.5758,0.066,0.0651,4.45,26.88,38,1048,73,28
USDC,1.5,7,0.0285,0.5741,0.0544,0.0688,3.39,27.05,31,1055,78,23
USDC,2.0,10,0.0281,0.4394,0.0528,0.1044,4.69,25.75,29,1004,117,37
USDC,1.5,5,0.0249,0.6,0.0477,0.0727,2.93,27.16,27,1059,83,18
USDC,2.0,7,0.0223,0.4259,0.0423,0.1086,3.48,25.9,23,1010,123,31
USDC,2.5,10,0.0222,0.3333,0.0417,0.1374,4.73,24.8,22,967,154,44
USDC,3.0,10,0.0198,0.2879,0.0371,0.1624,5.0,24.08,19,939,182,47
USDC,2.0,5,0.0194,0.4444,0.0371,0.113,3.05,25.98,20,1013,129,25
USDC,2.5,7,0.0182,0.3333,0.0345,0.143,3.72,24.9,18,971,162,36
USDC,3.0,7,0.0157,0.2778,0.0296,0.1677,3.87,24.18,15,943,190,39
USDC,2.5,5,0.0152,0.3333,0.029,0.1471,3.2,24.98,15,974,168,30
USDC,3.0,5,0.0125,0.2667,0.0239,0.1716,3.25,24.26,12,946,196,33
USDP,3.0,10,0.1978,1.0,0.3303,0.1929,5.07,20.49,197,799,191,0
USDP,2.5,10,0.1966,1.0,0.3286,0.1869,5.07,20.64,197,805,185,0
USDP,2.0,10,0.1929,1.0,0.3235,0.1677,5.07,21.13,197,824,166,0
USDP,1.5,10,0.1855,1.0,0.3129,0.1263,5.07,22.18,197,865,125,0
USDP,3.0,7,0.1466,1.0,0.2557,0.1835,3.69,21.8,146,850,191,0
USDP,2.5,7,0.1457,1.0,0.2544,0.1777,3.69,21.95,146,856,185,0
USDP,2.0,7,0.143,1.0,0.2502,0.1595,3.69,22.44,146,875,166,0
USDP,1.5,7,0.1375,1.0,0.2417,0.1201,3.69,23.49,146,916,125,0
USDP,3.0,5,0.1114,1.0,0.2005,0.1775,2.81,22.7,111,885,191,0
USDP,2.5,5,0.1108,1.0,0.1995,0.1719,2.81,22.85,111,891,185,0
USDP,2.0,5,0.1087,1.0,0.1961,0.1543,2.81,23.34,111,910,166,0
USDP,1.5,5,0.1045,1.0,0.1893,0.1162,2.81,24.39,111,951,125,0
USDT,2.5,10,0.0507,1.0,0.0965,0.1768,5.5,24.0,50,936,201,0
USDT,2.0,10,0.0488,1.0,0.0931,0.1434,5.5,24.98,50,974,163,0
USDT,1.5,10,0.0484,1.0,0.0923,0.1346,5.5,25.23,50,984,153,0
USDT,3.0,10,0.0473,0.92,0.0899,0.1847,5.24,23.77,46,927,210,4
USDT,2.5,7,0.0355,1.0,0.0686,0.1745,4.0,24.39,35,951,201,0
USDT,3.0,7,0.0349,0.9714,0.0675,0.1849,3.91,24.08,34,939,213,1
USDT,2.0,7,0.0342,1.0,0.0661,0.1415,4.0,25.36,35,989,163,0
USDT,1.5,7,0.0338,1.0,0.0655,0.1328,4.0,25.62,35,999,153,0
USDT,3.0,5,0.0257,1.0,0.0501,0.1842,3.0,24.31,25,948,214,0
USDT,2.5,5,0.0254,1.0,0.0495,0.173,3.0,24.64,25,961,201,0
USDT,2.0,5,0.0244,1.0,0.0477,0.1403,3.0,25.62,25,999,163,0
USDT,1.5,5,0.0242,1.0,0.0472,0.1317,3.0,25.88,25,1009,153,0
UST,3.0,5,0.7143,0.2,0.3125,0.9898,2.6,0.28,5,2,194,20
UST,3.0,7,0.7143,0.1429,0.2381,0.9892,2.6,0.28,5,2,184,30
UST,3.0,10,0.7143,0.1,0.1754,0.9883,2.6,0.28,5,2,169,45
UST,2.5,10,0.2391,0.22,0.2292,0.7953,5.0,4.82,11,35,136,39
UST,2.0,10,0.1967,0.24,0.2162,0.7135,5.0,6.75,12,49,122,38
UST,1.5,10,0.1944,0.28,0.2295,0.6608,4.57,7.99,14,58,113,36
UST,2.5,7,0.1739,0.2286,0.1975,0.7957,3.5,5.23,8,38,148,27
UST,1.5,7,0.1528,0.3143,0.2056,0.672,3.36,8.4,11,61,125,24
UST,2.0,7,0.1475,0.2571,0.1875,0.7204,3.67,7.16,9,52,134,26
UST,2.5,5,0.1304,0.24,0.169,0.7959,2.5,5.51,6,40,156,19
UST,1.5,5,0.125,0.36,0.1856,0.6786,2.67,8.68,9,63,133,16
UST,2.0,5,0.1148,0.28,0.1628,0.7245,2.86,7.44,7,54,142,18
